                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5022,                0.81881,                0.96156,                0.83663,                0.83565,                0.88417,                0.50544,                 1.2824,                0.69663,                0.92818,               0.067828,             0.00046674,             0.00046674
                      2,                 1.4408,                0.79106,                0.95319,                0.94383,                0.88194,                0.93303,                0.55818,                 1.2418,                0.66776,                0.91107,               0.034965,             0.00093717,             0.00093717
                      3,                 1.4349,                0.78074,                0.94596,                0.95215,                0.90741,                0.94327,                0.55637,                 1.2938,                0.68224,                0.91505,              0.0020957,              0.0014013,              0.0014013
                      4,                 1.4376,                0.78551,                0.94689,                0.96352,                0.92593,                0.94969,                   0.59,                 1.2394,                 0.6733,                0.91212,              0.0014017,              0.0014017,              0.0014017
                      5,                  1.445,                0.78646,                0.94244,                0.96731,                0.89035,                0.94273,                0.59215,                 1.1974,                0.66284,                0.90043,              0.0013922,              0.0013922,              0.0013922
                      6,                 1.4075,                0.75514,                0.94458,                0.94252,                0.89815,                0.94792,                0.58772,                 1.1913,                0.67633,                0.90466,              0.0013828,              0.0013828,              0.0013828
                      7,                 1.3738,                0.73972,                0.92914,                0.98733,                0.89815,                0.94775,                0.60067,                 1.1724,                 0.6103,                0.90115,              0.0013733,              0.0013733,              0.0013733
                      8,                 1.3691,                0.72178,                0.92515,                0.96452,                0.91435,                0.94144,                0.60468,                 1.1695,                0.62136,                0.88775,              0.0013639,              0.0013639,              0.0013639
                      9,                 1.3602,                0.73391,                0.92636,                0.96562,                 0.9101,                 0.9472,                0.59677,                 1.1595,                0.64862,                0.89729,              0.0013544,              0.0013544,              0.0013544
                     10,                 1.3413,                0.71715,                0.93048,                0.98368,                0.92361,                0.94908,                0.59441,                 1.1893,                0.62826,                 0.9092,               0.001345,               0.001345,               0.001345
                     11,                 1.3149,                0.69223,                0.91634,                0.96247,                0.89815,                 0.9403,                 0.5925,                 1.1743,                0.66035,                0.89225,              0.0013355,              0.0013355,              0.0013355
