                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9436,                 1.5699,                 1.1357,                0.65314,                0.78024,                0.75995,                0.41471,                 1.4261,                 1.1291,                0.99912,               0.067828,             0.00046674,             0.00046674
                      2,                 1.7615,                 1.1592,                 1.0618,                0.81196,                0.76157,                0.84348,                0.43913,                 1.4642,                0.93329,                 0.9647,               0.034952,              0.0009247,              0.0009247
                      3,                 1.7388,                 1.0835,                 1.0444,                0.85903,                0.79861,                0.87215,                0.49162,                 1.3625,                0.83381,                0.93982,              0.0020582,              0.0013638,              0.0013638
                      4,                 1.7114,                 1.0431,                  1.025,                0.92655,                 0.8287,                0.90672,                0.53009,                 1.3521,                0.80587,                0.94441,               0.001345,               0.001345,               0.001345
                      5,                 1.6711,                 1.0317,                 1.0161,                0.91001,                0.81019,                0.89675,                0.51955,                  1.283,                0.83703,                0.92562,              0.0013166,              0.0013166,              0.0013166
                      6,                 1.6014,                 0.9588,                  1.002,                0.86373,                0.85648,                 0.8867,                0.53891,                 1.2639,                0.78553,                0.92667,              0.0012883,              0.0012883,              0.0012883
                      7,                 1.5954,                0.93819,                0.99334,                0.92662,                 0.7963,                0.88968,                0.52282,                 1.3232,                0.80125,                0.93473,              0.0012599,              0.0012599,              0.0012599
                      8,                 1.5966,                0.90508,                0.98975,                0.92643,                0.84259,                0.90667,                0.52752,                  1.319,                0.72599,                0.92471,              0.0012316,              0.0012316,              0.0012316
                      9,                 1.5683,                0.90726,                0.98267,                0.94003,                0.86343,                0.92281,                0.54322,                 1.3063,                0.74497,                0.92836,              0.0012033,              0.0012033,              0.0012033
                     10,                 1.5839,                0.90824,                 0.9923,                0.92777,                0.84259,                0.90112,                0.53142,                 1.3432,                0.74337,                0.93818,              0.0011749,              0.0011749,              0.0011749
                     11,                 1.5121,                0.85335,                0.96688,                0.89244,                0.83333,                0.90718,                0.55814,                 1.2606,                0.71829,                0.91501,              0.0011466,              0.0011466,              0.0011466
                     12,                 1.5166,                0.85936,                0.97303,                0.89921,                0.86735,                0.91928,                 0.5732,                  1.228,                0.72601,                0.90985,              0.0011182,              0.0011182,              0.0011182
                     13,                 1.5149,                0.86059,                0.97321,                0.92328,                0.86363,                0.91804,                0.55826,                  1.249,                0.69965,                0.91871,              0.0010899,              0.0010899,              0.0010899
                     14,                 1.5159,                0.85121,                0.97282,                0.89995,                0.86574,                 0.9151,                0.55297,                 1.2868,                0.70358,                0.92549,              0.0010615,              0.0010615,              0.0010615
                     15,                 1.4789,                0.82469,                0.96464,                0.88925,                0.89217,                0.92039,                0.56112,                 1.2527,                0.67384,                0.91852,              0.0010332,              0.0010332,              0.0010332
                     16,                 1.4753,                0.81676,                0.96305,                 0.9487,                0.87963,                0.92377,                0.57509,                 1.2086,                0.67931,                0.90332,              0.0010048,              0.0010048,              0.0010048
                     17,                 1.4912,                0.82211,                0.96615,                0.94413,                0.89973,                0.93365,                0.58486,                 1.1976,                0.66781,                0.90299,              0.0009765,              0.0009765,              0.0009765
                     18,                 1.4535,                 0.7864,                0.95867,                0.93903,                0.85569,                0.92467,                0.55639,                  1.251,                0.68634,                0.91699,             0.00094816,             0.00094816,             0.00094816
                     19,                 1.4385,                0.78765,                0.95946,                0.93689,                0.89352,                0.93429,                0.57188,                 1.1949,                0.68994,                0.90244,             0.00091981,             0.00091981,             0.00091981
                     20,                 1.4385,                0.77715,                0.95034,                0.93468,                0.87963,                0.92734,                0.56723,                 1.2092,                0.66655,                0.90311,             0.00089147,             0.00089147,             0.00089147
                     21,                 1.4529,                0.78801,                0.94959,                0.94206,                0.86572,                0.91547,                0.53978,                 1.2606,                0.68508,                0.91838,             0.00086313,             0.00086313,             0.00086313
                     22,                 1.4434,                0.77172,                0.95496,                0.95666,                0.86806,                0.93238,                0.55508,                 1.2405,                0.67053,                0.91005,             0.00083478,             0.00083478,             0.00083478
                     23,                  1.442,                0.79332,                0.93989,                0.94634,                0.86574,                0.92133,                0.55387,                 1.2533,                0.68178,                0.91495,             0.00080644,             0.00080644,             0.00080644
                     24,                  1.435,                 0.7875,                0.94456,                0.94902,                0.86574,                 0.9292,                0.56963,                   1.21,                 0.6619,                0.90705,             0.00077809,             0.00077809,             0.00077809
                     25,                 1.4554,                0.78867,                0.94499,                0.93865,                0.88548,                 0.9272,                0.57098,                 1.1818,                0.64142,                0.90127,             0.00074975,             0.00074975,             0.00074975
                     26,                  1.406,                0.76054,                0.94918,                0.90256,                0.87963,                0.93099,                 0.5689,                 1.2119,                0.67682,                0.90053,             0.00072141,             0.00072141,             0.00072141
                     27,                 1.4141,                0.74922,                0.93934,                0.95461,                0.87639,                0.93498,                0.56968,                 1.2089,                0.65436,                0.90042,             0.00069306,             0.00069306,             0.00069306
                     28,                 1.3683,                0.73147,                0.93717,                0.95046,                0.88815,                0.93419,                 0.5693,                 1.1942,                0.63971,                0.90183,             0.00066472,             0.00066472,             0.00066472
                     29,                 1.3894,                0.73813,                0.94601,                  0.955,                0.88422,                0.93601,                0.57067,                 1.2017,                0.64961,                0.90583,             0.00063638,             0.00063638,             0.00063638
                     30,                 1.3924,                 0.7399,                 0.9321,                0.90555,                0.86574,                0.93398,                0.56858,                 1.1891,                0.64461,                0.90355,             0.00060803,             0.00060803,             0.00060803
                     31,                 1.3921,                0.74185,                  0.937,                0.95204,                0.87316,                0.93713,                0.57201,                 1.1939,                0.63301,                0.90213,             0.00057969,             0.00057969,             0.00057969
                     32,                 1.3674,                0.74184,                0.93693,                0.94465,                0.87269,                0.92913,                0.57515,                 1.1698,                0.62772,                0.89773,             0.00055134,             0.00055134,             0.00055134
                     33,                 1.3641,                0.72282,                0.93737,                0.96461,                0.88326,                0.93979,                0.56744,                 1.2083,                 0.6449,                0.90741,               0.000523,               0.000523,               0.000523
                     34,                 1.3408,                0.70711,                0.93478,                0.95933,                0.87963,                0.93834,                0.57419,                 1.1962,                0.62745,                0.90019,             0.00049466,             0.00049466,             0.00049466
                     35,                 1.3609,                0.72777,                 0.9329,                0.96125,                0.86128,                0.92956,                0.57223,                 1.1772,                 0.6295,                0.90096,             0.00046631,             0.00046631,             0.00046631
                     36,                  1.378,                0.72291,                0.93261,                0.96457,                0.86806,                0.93085,                 0.5682,                 1.1801,                0.64599,                0.89953,             0.00043797,             0.00043797,             0.00043797
