                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.447,                0.95904,                0.94842,                0.94303,                0.89352,                0.91762,                0.55218,                 1.1975,                 0.7009,                0.88867,               0.068892,              0.0015308,              0.0015308
                      2,                 1.4454,                0.92259,                0.94597,                0.92986,                0.88426,                0.92887,                0.54285,                 1.2521,                0.74685,                0.89605,               0.037102,              0.0030739,              0.0030739
                      3,                 1.5429,                0.95827,                0.95626,                0.90635,                0.85135,                0.87205,                0.52489,                 1.2924,                0.72476,                0.90222,              0.0052912,              0.0045968,              0.0045968
                      4,                  1.594,                 0.9785,                0.96732,                0.89499,                0.88783,                0.91951,                0.52882,                 1.2983,                 0.7485,                0.90635,              0.0045984,              0.0045984,              0.0045984
                      5,                 1.5364,                0.98859,                0.95353,                 0.8902,                0.82639,                0.91176,                0.54065,                 1.2766,                0.73591,                0.90604,              0.0045678,              0.0045678,              0.0045678
                      6,                 1.5037,                0.93689,                0.95144,                0.90338,                0.84404,                0.92581,                0.55041,                 1.2609,                0.73691,                 0.9039,              0.0045373,              0.0045373,              0.0045373
                      7,                 1.4861,                0.93714,                0.94793,                0.86113,                0.88194,                0.91762,                0.54955,                 1.2371,                0.74508,                0.89859,              0.0045067,              0.0045067,              0.0045067
                      8,                 1.5131,                0.92753,                0.94601,                0.89612,                0.87861,                0.91495,                0.55568,                 1.2041,                0.71007,                0.89162,              0.0044762,              0.0044762,              0.0044762
                      9,                 1.4774,                0.94008,                0.94684,                 0.9428,                0.83932,                0.92822,                0.55541,                 1.2587,                0.74047,                0.90203,              0.0044456,              0.0044456,              0.0044456
                     10,                 1.4757,                 0.9296,                0.95187,                0.89054,                0.88657,                0.92606,                0.55768,                 1.2303,                0.72458,                0.89619,              0.0044151,              0.0044151,              0.0044151
                     11,                 1.4523,                0.90114,                 0.9394,                0.88307,                0.90046,                0.92405,                0.57583,                 1.1946,                0.72237,                0.89314,              0.0043845,              0.0043845,              0.0043845
                     12,                 1.4728,                0.91707,                0.94695,                0.90766,                0.88736,                0.93244,                0.55337,                 1.2366,                0.71298,                0.89859,               0.004354,               0.004354,               0.004354
                     13,                 1.4411,                0.92228,                0.94243,                0.91943,                0.90972,                0.93071,                0.58661,                 1.1372,                0.73398,                0.88221,              0.0043234,              0.0043234,              0.0043234
                     14,                 1.4398,                0.89407,                0.94088,                0.92725,                0.88657,                0.90198,                  0.566,                 1.1709,                0.67072,                 0.8875,              0.0042929,              0.0042929,              0.0042929
                     15,                  1.404,                0.87748,                0.93213,                0.93245,                0.89474,                 0.9337,                0.57611,                 1.1907,                0.69049,                0.89026,              0.0042623,              0.0042623,              0.0042623
                     16,                 1.4065,                0.86947,                0.93582,                0.93513,                0.90972,                0.92774,                0.56673,                 1.1935,                0.66759,                0.88328,              0.0042318,              0.0042318,              0.0042318
                     17,                 1.4217,                0.87425,                0.93559,                0.93484,                0.90046,                0.92146,                0.57274,                 1.1589,                0.66102,                0.88388,              0.0042012,              0.0042012,              0.0042012
                     18,                 1.4154,                0.85756,                0.93372,                0.93411,                0.93056,                0.94819,                0.54956,                  1.209,                0.68735,                0.88864,              0.0041707,              0.0041707,              0.0041707
                     19,                 1.4045,                0.86034,                0.94144,                0.91741,                0.89992,                0.92631,                0.56264,                 1.1998,                0.69999,                0.89361,              0.0041401,              0.0041401,              0.0041401
                     20,                   1.41,                0.84952,                 0.9305,                0.91341,                0.90342,                0.93342,                0.57078,                 1.1964,                0.69572,                0.89291,              0.0041096,              0.0041096,              0.0041096
                     21,                   1.42,                0.86133,                0.93163,                0.92428,                0.90416,                0.93711,                0.57176,                 1.1566,                0.68303,                0.88988,               0.004079,               0.004079,               0.004079
                     22,                 1.4004,                0.85359,                0.93277,                0.91287,                0.90972,                0.94079,                0.57649,                 1.1763,                0.73799,                0.88824,              0.0040485,              0.0040485,              0.0040485
                     23,                 1.4106,                0.88169,                0.92256,                0.94766,                 0.9221,                0.93462,                0.58647,                 1.1388,                0.68393,                0.88083,              0.0040179,              0.0040179,              0.0040179
                     24,                 1.3817,                0.85332,                0.92048,                0.92226,                0.90624,                 0.9339,                0.57774,                 1.1564,                 0.6855,                0.88496,              0.0039874,              0.0039874,              0.0039874
                     25,                 1.4199,                0.86399,                0.92306,                0.91893,                 0.9183,                0.93626,                0.57133,                 1.1857,                0.66693,                0.88791,              0.0039568,              0.0039568,              0.0039568
                     26,                 1.3716,                0.83009,                0.92781,                0.89769,                0.91395,                0.93394,                0.57846,                  1.167,                0.69186,                0.88328,              0.0039263,              0.0039263,              0.0039263
                     27,                 1.3853,                0.82902,                0.92598,                0.93806,                 0.8912,                0.93408,                 0.5918,                 1.1411,                0.66557,                0.88198,              0.0038957,              0.0038957,              0.0038957
                     28,                 1.3549,                 0.8217,                0.92119,                0.90989,                0.88825,                0.93357,                0.58231,                 1.1461,                0.67992,                0.88545,              0.0038652,              0.0038652,              0.0038652
                     29,                 1.3564,                0.82556,                0.92606,                0.91822,                0.88426,                0.94026,                0.57825,                 1.1879,                 0.6992,                0.89073,              0.0038346,              0.0038346,              0.0038346
                     30,                 1.3744,                 0.8211,                0.91628,                0.89844,                0.88889,                0.93275,                0.56975,                  1.184,                0.68566,                0.88888,              0.0038041,              0.0038041,              0.0038041
                     31,                 1.3654,                0.82067,                0.92036,                0.93316,                0.89352,                0.93768,                0.57198,                 1.1763,                0.67712,                0.88653,              0.0037735,              0.0037735,              0.0037735
                     32,                 1.3339,                0.83266,                0.91578,                0.91388,                0.90278,                0.93819,                0.59153,                  1.129,                0.71862,                0.87788,               0.003743,               0.003743,               0.003743
                     33,                  1.346,                0.81379,                0.92319,                0.93089,                0.87301,                0.94007,                0.57874,                 1.1939,                0.68281,                0.89081,              0.0037124,              0.0037124,              0.0037124
                     34,                  1.314,                0.78862,                0.91826,                0.93462,                0.89351,                0.94114,                0.60602,                  1.121,                0.66515,                0.87394,              0.0036819,              0.0036819,              0.0036819
                     35,                 1.3378,                0.80761,                0.91752,                0.92107,                0.89352,                0.94622,                0.59384,                 1.1463,                0.67517,                0.87495,              0.0036513,              0.0036513,              0.0036513
                     36,                  1.359,                0.79563,                0.92039,                0.90828,                0.89397,                0.94745,                0.58785,                 1.1531,                0.66126,                0.87791,              0.0036208,              0.0036208,              0.0036208
                     37,                 1.3364,                0.78905,                0.91495,                0.92656,                 0.8762,                0.94391,                0.59393,                 1.1566,                 0.6529,                0.88253,              0.0035902,              0.0035902,              0.0035902
                     38,                 1.3613,                0.81108,                0.92326,                0.92085,                0.88867,                0.94461,                0.60584,                 1.1178,                 0.6545,                0.87681,              0.0035597,              0.0035597,              0.0035597
                     39,                 1.3254,                0.78588,                0.91445,                 0.9251,                0.91492,                0.95054,                0.60419,                  1.093,                0.64137,                0.86799,              0.0035291,              0.0035291,              0.0035291
                     40,                 1.3112,                0.78084,                 0.9103,                0.93232,                0.90046,                0.93637,                0.60218,                 1.1096,                0.64589,                 0.8729,              0.0034986,              0.0034986,              0.0034986
                     41,                 1.3299,                0.79176,                 0.9087,                0.94497,                0.87458,                0.94277,                0.60881,                 1.1036,                0.64015,                0.86928,               0.003468,               0.003468,               0.003468
                     42,                 1.3676,                0.79557,                0.92653,                0.90037,                0.91435,                0.94627,                 0.6034,                 1.1194,                0.63574,                0.87115,              0.0034375,              0.0034375,              0.0034375
                     43,                 1.3263,                  0.778,                 0.9135,                0.94208,                0.91204,                0.94471,                0.60566,                 1.1214,                0.63023,                0.87294,              0.0034069,              0.0034069,              0.0034069
                     44,                 1.3331,                0.77997,                 0.9142,                 0.8995,                 0.9323,                0.93538,                0.59472,                 1.1371,                0.62193,                0.87666,              0.0033764,              0.0033764,              0.0033764
                     45,                 1.3482,                0.78205,                0.91221,                0.89854,                0.93981,                0.94663,                0.60827,                  1.095,                0.62519,                0.87107,              0.0033458,              0.0033458,              0.0033458
                     46,                 1.3023,                0.75952,                0.91731,                0.90459,                0.92593,                0.93774,                0.60308,                 1.1039,                0.63011,                0.87178,              0.0033153,              0.0033153,              0.0033153
                     47,                 1.3195,                0.77558,                0.91577,                0.96911,                0.87136,                0.94772,                 0.6082,                 1.0962,                 0.6363,                0.86884,              0.0032847,              0.0032847,              0.0032847
                     48,                 1.2826,                0.76119,                0.91115,                0.89813,                0.93519,                0.94105,                0.61274,                 1.0857,                0.63243,                0.86924,              0.0032542,              0.0032542,              0.0032542
                     49,                 1.3364,                0.78427,                0.90867,                0.89823,                0.91935,                0.94957,                0.61237,                 1.0932,                 0.6437,                0.86744,              0.0032236,              0.0032236,              0.0032236
                     50,                 1.3109,                0.77584,                 0.9069,                0.94871,                0.89908,                0.94555,                0.62047,                  1.089,                0.62459,                0.86933,              0.0031931,              0.0031931,              0.0031931
                     51,                 1.3173,                  0.763,                0.90655,                0.93226,                0.90278,                0.94014,                0.61009,                 1.0969,                0.61879,                0.86808,              0.0031625,              0.0031625,              0.0031625
                     52,                 1.3234,                0.77434,                0.91218,                0.91539,                0.92361,                0.95082,                0.59461,                 1.1626,                0.63809,                0.87373,               0.003132,               0.003132,               0.003132
                     53,                 1.3212,                0.76622,                0.90129,                0.89264,                0.92379,                0.95411,                0.60612,                 1.0984,                 0.6342,                0.87043,              0.0031014,              0.0031014,              0.0031014
                     54,                 1.2875,                 0.7511,                 0.9049,                0.90055,                0.92229,                0.94875,                0.62369,                 1.0659,                 0.6342,                0.86492,              0.0030709,              0.0030709,              0.0030709
                     55,                 1.2987,                0.77287,                0.91732,                 0.9675,                 0.8959,                0.95084,                0.61302,                 1.0723,                0.62262,                0.86339,              0.0030403,              0.0030403,              0.0030403
                     56,                 1.2986,                0.75718,                 0.9062,                0.95698,                0.87963,                0.94021,                0.61277,                 1.0704,                 0.6368,                0.86645,              0.0030098,              0.0030098,              0.0030098
                     57,                 1.2654,                0.74736,                0.90449,                0.91106,                0.93287,                0.94786,                0.62017,                  1.076,                0.62531,                0.86884,              0.0029792,              0.0029792,              0.0029792
                     58,                 1.2859,                0.75189,                0.90719,                0.94845,                 0.8944,                0.95448,                0.61841,                 1.0721,                0.64282,                 0.8663,              0.0029487,              0.0029487,              0.0029487
                     59,                 1.2827,                0.74954,                  0.901,                0.94318,                0.89583,                 0.9464,                0.62124,                 1.0636,                0.62654,                0.86201,              0.0029181,              0.0029181,              0.0029181
                     60,                 1.2618,                0.75008,                0.90435,                0.91771,                0.91667,                0.94538,                0.61924,                 1.0763,                0.62603,                0.86575,              0.0028876,              0.0028876,              0.0028876
                     61,                 1.2706,                0.74522,                0.90506,                0.96406,                0.89815,                0.94636,                0.60235,                 1.1179,                0.62019,                0.86678,               0.002857,               0.002857,               0.002857
                     62,                   1.26,                0.73901,                0.90544,                0.92553,                0.90741,                 0.9468,                0.61369,                 1.0737,                  0.626,                0.86231,              0.0028265,              0.0028265,              0.0028265
                     63,                 1.2702,                0.74571,                0.90189,                0.92697,                0.90972,                 0.9441,                0.60989,                 1.0876,                0.62966,                 0.8672,              0.0027959,              0.0027959,              0.0027959
                     64,                 1.2528,                 0.7367,                0.90356,                0.91972,                0.91435,                0.94513,                0.60352,                  1.115,                0.62591,                0.87004,              0.0027654,              0.0027654,              0.0027654
                     65,                 1.2175,                0.71485,                0.89794,                0.90984,                0.92824,                0.94947,                0.61886,                 1.1055,                0.62128,                0.86722,              0.0027348,              0.0027348,              0.0027348
                     66,                 1.2932,                0.74727,                0.90143,                 0.9053,                0.92945,                0.94213,                0.61305,                 1.0971,                0.62111,                0.86325,              0.0027043,              0.0027043,              0.0027043
                     67,                 1.2573,                0.73906,                0.90062,                 0.9116,                0.92361,                0.94889,                0.62291,                 1.0836,                0.61579,                 0.8636,              0.0026737,              0.0026737,              0.0026737
                     68,                 1.2336,                0.71057,                0.90033,                0.97287,                0.88657,                0.95322,                 0.6014,                 1.1304,                0.63064,                0.87387,              0.0026432,              0.0026432,              0.0026432
                     69,                 1.2409,                0.72523,                0.89922,                0.96252,                0.87731,                0.94616,                0.61119,                 1.1107,                0.63679,                0.87167,              0.0026126,              0.0026126,              0.0026126
                     70,                 1.2331,                0.71575,                0.89945,                0.97049,                0.88889,                0.94911,                 0.6204,                 1.0878,                0.62432,                0.86824,              0.0025821,              0.0025821,              0.0025821
                     71,                 1.2491,                0.72169,                0.90385,                0.92714,                0.91435,                0.94973,                 0.6059,                 1.0987,                 0.6224,                0.86846,              0.0025515,              0.0025515,              0.0025515
                     72,                 1.2372,                0.72345,                 0.8977,                0.95397,                0.89583,                0.94994,                0.61251,                 1.0932,                0.63133,                 0.8704,               0.002521,               0.002521,               0.002521
                     73,                 1.2368,                0.72066,                0.89517,                0.91529,                0.91667,                0.95555,                0.61657,                 1.1037,                0.62486,                  0.865,              0.0024904,              0.0024904,              0.0024904
                     74,                 1.2516,                 0.7227,                 0.8983,                0.95991,                0.89583,                0.95363,                0.61399,                 1.1094,                0.61018,                0.86487,              0.0024599,              0.0024599,              0.0024599
                     75,                 1.2457,                 0.7169,                0.90204,                0.95886,                0.87731,                0.95421,                0.61794,                 1.0802,                0.62075,                0.86646,              0.0024293,              0.0024293,              0.0024293
                     76,                  1.257,                0.73221,                0.89875,                0.91893,                0.91836,                0.95372,                 0.6203,                 1.0839,                0.62495,                 0.8657,              0.0023988,              0.0023988,              0.0023988
                     77,                 1.2495,                 0.7201,                0.89909,                0.95628,                0.88889,                0.95263,                0.61743,                 1.0849,                0.61731,                0.86416,              0.0023682,              0.0023682,              0.0023682
                     78,                 1.2063,                0.71163,                0.89393,                0.92943,                 0.9146,                0.94738,                0.60482,                  1.117,                0.62331,                0.86987,              0.0023377,              0.0023377,              0.0023377
                     79,                 1.2203,                0.70739,                  0.886,                0.92531,                0.91766,                0.95803,                  0.614,                 1.1104,                0.62533,                0.86785,              0.0023071,              0.0023071,              0.0023071
                     80,                 1.2655,                0.72252,                0.89718,                0.91632,                 0.9213,                0.95298,                0.60804,                 1.1068,                0.63471,                0.87102,              0.0022766,              0.0022766,              0.0022766
                     81,                 1.2105,                0.70225,                0.90055,                0.92818,                0.92824,                0.95689,                0.61649,                 1.1011,                0.61756,                0.86411,               0.002246,               0.002246,               0.002246
                     82,                  1.213,                0.71049,                0.89398,                0.92798,                0.92593,                0.95814,                0.61311,                 1.1082,                0.61753,                0.86881,              0.0022155,              0.0022155,              0.0022155
