                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8621,                 1.8674,                 1.1032,                0.73839,                0.68056,                0.74221,                0.45924,                 1.2225,                 1.0949,                0.92164,               0.068892,              0.0015308,              0.0015308
                      2,                 1.7436,                 1.3739,                  1.045,                0.67628,                0.71572,                0.75292,                0.44569,                 1.2961,                 1.0217,                0.92654,               0.037061,              0.0030336,              0.0030336
                      3,                  1.797,                 1.3408,                 1.0399,                0.82118,                0.75473,                0.82894,                 0.4624,                 1.3306,                0.93705,                0.91761,              0.0051699,              0.0044754,              0.0044754
                      4,                 1.7762,                  1.328,                 1.0292,                0.86601,                0.75231,                0.85446,                0.47933,                 1.3119,                0.90897,                0.91489,              0.0044151,              0.0044151,              0.0044151
                      5,                 1.7547,                 1.2971,                 1.0288,                 0.8427,                 0.7963,                 0.8641,                0.50305,                 1.2491,                0.87745,                0.90813,              0.0043234,              0.0043234,              0.0043234
                      6,                 1.6937,                  1.241,                 1.0155,                0.84384,                0.83807,                0.88159,                0.49679,                 1.2611,                0.86398,                0.90597,              0.0042318,              0.0042318,              0.0042318
                      7,                 1.6879,                 1.2409,                 1.0033,                0.84506,                0.84586,                0.88462,                0.51658,                 1.2391,                0.85676,                0.90252,              0.0041401,              0.0041401,              0.0041401
                      8,                 1.6752,                 1.1988,                 1.0013,                0.83528,                0.82407,                0.87663,                0.53046,                 1.2264,                0.84439,                0.90231,              0.0040485,              0.0040485,              0.0040485
                      9,                  1.634,                 1.2077,                0.99613,                0.83014,                0.79861,                0.88334,                0.51796,                 1.2397,                0.82927,                0.90139,              0.0039568,              0.0039568,              0.0039568
                     10,                 1.6253,                 1.1809,                 1.0057,                0.84528,                0.84732,                0.89384,                0.51623,                 1.2662,                0.87278,                0.90216,              0.0038652,              0.0038652,              0.0038652
                     11,                   1.59,                 1.1324,                0.98325,                0.88683,                0.84954,                0.90938,                0.54325,                 1.2292,                0.79929,                0.90035,              0.0037735,              0.0037735,              0.0037735
                     12,                 1.5988,                 1.1471,                0.99129,                0.86611,                0.85352,                0.89781,                0.53396,                 1.2488,                0.83977,                0.89794,              0.0036819,              0.0036819,              0.0036819
