                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6863,                    0.4,                 1.0108,                0.96498,                0.98333,                0.98248,                0.76416,                0.93765,                0.40356,                 1.3534,               0.067873,             0.00046607,             0.00046607
                      2,                0.72136,                0.40336,                   1.03,                0.98223,                0.98333,                0.98711,                0.77227,                0.94775,                0.36961,                 1.3008,               0.035011,             0.00093651,             0.00093651
                      3,                0.70921,                0.40395,                 1.0071,                0.98203,                0.98333,                0.98636,                0.78839,                0.79481,                0.40677,                 1.1191,              0.0021414,              0.0014007,              0.0014007
                      4,                0.75187,                0.42861,                 1.0357,                0.98182,                0.98333,                 0.9811,                0.77541,                 0.8119,                0.43574,                 1.1531,              0.0014017,              0.0014017,              0.0014017
                      5,                0.80194,                0.46643,                 1.0737,                0.96717,                0.98207,                0.97988,                0.77987,                0.80654,                 0.4163,                 1.1504,              0.0013922,              0.0013922,              0.0013922
                      6,                0.75885,                0.44156,                  1.047,                 0.9787,                0.96667,                0.96697,                0.77393,                0.89004,                0.39321,                 1.2619,              0.0013828,              0.0013828,              0.0013828
                      7,                0.74995,                0.44482,                 1.0326,                0.98173,                0.98333,                0.98554,                0.72763,                0.97545,                0.40363,                 1.4073,              0.0013733,              0.0013733,              0.0013733
                      8,                0.74314,                0.45041,                 1.0405,                0.98219,                0.98333,                0.98977,                 0.7585,                0.92356,                 0.4699,                 1.2547,              0.0013639,              0.0013639,              0.0013639
                      9,                0.75698,                0.45083,                 1.0313,                0.99837,                      1,                  0.995,                0.74723,                0.99489,                0.40301,                 1.3476,              0.0013544,              0.0013544,              0.0013544
                     10,                0.74334,                0.45506,                  1.041,                0.98237,                0.98333,                0.98478,                0.78045,                0.88926,                  0.406,                 1.2946,               0.001345,               0.001345,               0.001345
                     11,                0.72122,                0.42917,                 1.0115,                0.98222,                0.98333,                0.99369,                0.79023,                0.79548,                0.40364,                 1.1183,              0.0013355,              0.0013355,              0.0013355
                     12,                0.72761,                0.43066,                 1.0369,                0.98217,                0.98333,                0.97725,                0.68575,                 1.0423,                0.44276,                  1.435,              0.0013261,              0.0013261,              0.0013261
                     13,                0.74729,                0.43588,                 1.0284,                0.98198,                0.98333,                0.98038,                0.71579,                 1.0278,                0.44763,                 1.3462,              0.0013166,              0.0013166,              0.0013166
                     14,                0.72854,                0.44649,                 1.0312,                0.96605,                      1,                0.99351,                0.76448,                0.88795,                0.40636,                 1.3287,              0.0013072,              0.0013072,              0.0013072
                     15,                0.71683,                0.42063,                 1.0212,                0.98226,                0.98333,                0.98448,                0.75444,                0.97847,                0.39468,                 1.4492,              0.0012977,              0.0012977,              0.0012977
                     16,                0.70795,                0.40166,                 1.0278,                0.98228,                0.98333,                0.97921,                0.71381,                0.95793,                0.42884,                 1.4328,              0.0012883,              0.0012883,              0.0012883
                     17,                0.72236,                0.42181,                 1.0373,                 0.9818,                0.98333,                0.98212,                0.73302,                0.94035,                 0.4173,                 1.3265,              0.0012788,              0.0012788,              0.0012788
                     18,                0.72774,                0.41051,                 1.0233,                0.98185,                0.98333,                0.97649,                0.72032,                 0.9655,                0.45463,                 1.3899,              0.0012694,              0.0012694,              0.0012694
                     19,                0.68569,                 0.4033,                 1.0001,                0.98235,                0.98333,                0.98554,                0.75235,                0.96895,                0.41326,                 1.3538,              0.0012599,              0.0012599,              0.0012599
                     20,                0.71089,                0.42123,                 1.0315,                0.98198,                0.98333,                0.97474,                0.74407,                0.83037,                0.40586,                 1.2143,              0.0012505,              0.0012505,              0.0012505
                     21,                0.69358,                0.40939,                 1.0027,                0.99898,                      1,                  0.995,                0.75587,                0.89474,                0.41761,                 1.2116,               0.001241,               0.001241,               0.001241
                     22,                0.68323,                0.40151,                0.99657,                0.99845,                      1,                  0.995,                0.78548,                0.84765,                0.39016,                 1.2536,              0.0012316,              0.0012316,              0.0012316
                     23,                0.70517,                 0.4088,                 1.0107,                0.98221,                0.98333,                 0.9794,                0.79394,                0.82507,                0.38627,                 1.2291,              0.0012221,              0.0012221,              0.0012221
                     24,                0.70145,                0.42276,                 1.0077,                0.98199,                0.98333,                0.97813,                0.71639,                0.99611,                0.47727,                 1.3233,              0.0012127,              0.0012127,              0.0012127
                     25,                0.68137,                0.40044,                 1.0087,                0.99901,                      1,                  0.995,                0.77609,                 0.9322,                0.38442,                 1.3361,              0.0012033,              0.0012033,              0.0012033
                     26,                0.68239,                0.39215,                 1.0038,                0.98212,                0.98333,                0.98664,                0.74429,                0.95942,                0.37442,                  1.443,              0.0011938,              0.0011938,              0.0011938
                     27,                0.69277,                0.39404,                 1.0275,                0.98273,                0.98333,                0.98611,                 0.7772,                0.96782,                0.38033,                 1.3974,              0.0011844,              0.0011844,              0.0011844
                     28,                0.68452,                0.38269,                0.99826,                0.98224,                0.98333,                0.98235,                0.78177,                0.95761,                0.37625,                 1.3784,              0.0011749,              0.0011749,              0.0011749
                     29,                0.65974,                 0.3851,                 1.0048,                 0.9821,                0.98333,                0.98617,                0.77753,                0.92608,                0.37349,                 1.3482,              0.0011655,              0.0011655,              0.0011655
                     30,                0.67162,                0.39289,                0.98872,                0.98225,                0.98333,                0.98673,                0.78263,                0.81298,                0.38204,                 1.1969,               0.001156,               0.001156,               0.001156
                     31,                   0.68,                0.39333,                 1.0053,                0.98149,                0.98333,                0.98643,                0.79977,                0.80011,                0.37953,                 1.1612,              0.0011466,              0.0011466,              0.0011466
                     32,                0.67606,                0.39458,                 0.9931,                0.98211,                0.98333,                0.98629,                0.77549,                0.82521,                0.38084,                 1.1833,              0.0011371,              0.0011371,              0.0011371
                     33,                0.69497,                0.39703,                 1.0109,                0.98224,                0.98333,                  0.986,                0.77249,                0.85697,                0.37614,                 1.2541,              0.0011277,              0.0011277,              0.0011277
                     34,                0.66745,                0.38219,                 1.0055,                0.98206,                0.98333,                0.97972,                0.73853,                  0.968,                0.42434,                 1.3336,              0.0011182,              0.0011182,              0.0011182
                     35,                0.65788,                0.39042,                0.99261,                0.98211,                0.98333,                0.98542,                0.77537,                0.85859,                0.38974,                 1.1973,              0.0011088,              0.0011088,              0.0011088
                     36,                0.68525,                0.39294,                 1.0123,                  0.999,                      1,                  0.995,                 0.7661,                0.86195,                0.37385,                  1.223,              0.0010993,              0.0010993,              0.0010993
                     37,                0.66645,                0.38727,                0.99869,                0.99911,                      1,                  0.995,                0.79178,                0.78544,                0.39129,                 1.1418,              0.0010899,              0.0010899,              0.0010899
                     38,                0.68994,                0.39786,                 1.0059,                0.98233,                0.98333,                0.98382,                0.77448,                0.89424,                0.39218,                 1.3157,              0.0010804,              0.0010804,              0.0010804
                     39,                0.66946,                0.38679,                 1.0057,                0.99876,                      1,                  0.995,                0.78131,                0.85376,                0.37878,                 1.2769,               0.001071,               0.001071,               0.001071
                     40,                0.63891,                0.35834,                0.98427,                0.98185,                0.98333,                0.97893,                0.75407,                 0.9167,                0.40415,                 1.3572,              0.0010615,              0.0010615,              0.0010615
                     41,                0.67186,                 0.3883,                  0.998,                0.98134,                0.98333,                0.98108,                0.72568,                 1.0031,                0.44533,                 1.4143,              0.0010521,              0.0010521,              0.0010521
                     42,                0.63492,                0.35347,                0.98448,                0.98229,                0.98333,                0.97344,                0.76408,                0.91852,                0.41338,                 1.2751,              0.0010426,              0.0010426,              0.0010426
                     43,                0.65732,                0.36595,                0.98426,                0.98153,                0.98333,                0.97666,                0.75324,                0.95454,                0.40003,                 1.3807,              0.0010332,              0.0010332,              0.0010332
                     44,                0.63524,                0.37855,                0.97647,                 0.9662,                0.98333,                0.96188,                0.70862,                0.94112,                0.39787,                 1.3137,              0.0010237,              0.0010237,              0.0010237
                     45,                 0.6291,                0.36705,                 0.9841,                0.98231,                0.98333,                0.97715,                0.73953,                 0.9512,                0.40871,                 1.3897,              0.0010143,              0.0010143,              0.0010143
                     46,                0.65781,                0.37595,                 0.9955,                0.99893,                      1,                  0.995,                0.76236,                0.85497,                0.37746,                 1.2481,              0.0010048,              0.0010048,              0.0010048
                     47,                0.64327,                0.36483,                0.98014,                0.99882,                      1,                  0.995,                0.80853,                0.77785,                0.33187,                 1.1955,              0.0009954,              0.0009954,              0.0009954
                     48,                0.64681,                0.37174,                0.98711,                0.98221,                0.98333,                0.98316,                0.77214,                0.97774,                0.37141,                 1.3206,             0.00098595,             0.00098595,             0.00098595
                     49,                0.59931,                0.35019,                0.96453,                0.99881,                      1,                  0.995,                0.77599,                0.82435,                 0.3534,                 1.1967,              0.0009765,              0.0009765,              0.0009765
                     50,                0.63622,                0.35403,                0.97651,                  0.999,                      1,                  0.995,                0.76417,                0.87376,                0.35913,                 1.2975,             0.00096705,             0.00096705,             0.00096705
                     51,                0.64153,                0.37519,                0.97357,                0.97333,                0.98333,                0.99369,                0.78816,                0.86041,                0.39406,                 1.2506,              0.0009576,              0.0009576,              0.0009576
                     52,                 0.6524,                0.38585,                 1.0062,                0.99877,                      1,                  0.995,                0.79662,                0.78353,                0.36069,                 1.1809,             0.00094816,             0.00094816,             0.00094816
                     53,                0.63681,                0.35841,                0.98524,                0.99885,                      1,                  0.995,                0.81337,                0.80584,                 0.3384,                 1.1933,             0.00093871,             0.00093871,             0.00093871
                     54,                0.62493,                0.36513,                0.98187,                0.99899,                      1,                  0.995,                0.77048,                0.84536,                0.35426,                 1.2344,             0.00092926,             0.00092926,             0.00092926
                     55,                0.62406,                0.36104,                 0.9788,                0.98215,                0.98333,                0.97545,                0.81071,                0.73092,                0.31287,                 1.1479,             0.00091981,             0.00091981,             0.00091981
                     56,                0.60169,                0.33314,                0.96459,                0.98209,                0.98333,                0.98058,                0.82818,                0.72665,                 0.3365,                 1.1744,             0.00091036,             0.00091036,             0.00091036
                     57,                0.62152,                0.36108,                0.99291,                0.99897,                      1,                  0.995,                0.80223,                0.82295,                0.37142,                 1.2127,             0.00090092,             0.00090092,             0.00090092
