                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88742,                 0.5346,                 1.1347,                0.98025,                0.98333,                0.97129,                0.70974,                0.92415,                0.47099,                 1.2902,               0.067873,             0.00046607,             0.00046607
                      2,                0.88492,                0.49715,                 1.1295,                0.98224,                0.98333,                 0.9738,                0.74143,                0.92339,                0.38732,                 1.2762,               0.034998,             0.00092405,             0.00092405
                      3,                0.83172,                0.46034,                 1.0933,                0.98217,                0.98333,                0.97268,                0.74018,                0.97839,                0.43775,                 1.3108,              0.0021039,              0.0013631,              0.0013631
                      4,                 0.8407,                0.46976,                 1.0916,                0.98194,                0.98333,                0.97877,                0.74127,                0.91316,                0.38543,                 1.2588,               0.001345,               0.001345,               0.001345
                      5,                0.85492,                0.50352,                  1.113,                0.96536,                0.96667,                0.97551,                0.77164,                0.84629,                0.41184,                 1.1832,              0.0013166,              0.0013166,              0.0013166
                      6,                0.84296,                0.50025,                  1.102,                0.98184,                0.98333,                0.98333,                0.67236,                 1.0457,                0.42535,                 1.4105,              0.0012883,              0.0012883,              0.0012883
                      7,                0.82065,                0.47407,                 1.0751,                0.98225,                0.98333,                0.99321,                0.75707,                0.86265,                0.40009,                 1.2485,              0.0012599,              0.0012599,              0.0012599
                      8,                0.79535,                0.47488,                 1.0774,                0.98227,                0.98333,                0.96958,                0.65092,                 1.0557,                0.43885,                 1.4772,              0.0012316,              0.0012316,              0.0012316
                      9,                0.81753,                0.47286,                 1.0713,                0.98195,                0.98333,                0.98482,                0.74006,                0.93631,                0.42727,                 1.2842,              0.0012033,              0.0012033,              0.0012033
                     10,                0.80174,                0.45762,                 1.0748,                 0.9672,                  0.983,                0.98425,                0.73249,                 1.0151,                0.42561,                 1.4669,              0.0011749,              0.0011749,              0.0011749
                     11,                0.76886,                0.43699,                 1.0475,                0.98223,                0.98333,                0.98536,                0.74807,                0.95291,                0.40235,                 1.3703,              0.0011466,              0.0011466,              0.0011466
                     12,                0.76864,                 0.4593,                 1.0643,                0.98212,                0.98333,                 0.9836,                0.75261,                0.95003,                0.39846,                 1.3685,              0.0011182,              0.0011182,              0.0011182
                     13,                0.78396,                0.44806,                 1.0555,                0.97518,                0.98333,                0.98376,                0.77415,                0.88957,                0.42385,                 1.2907,              0.0010899,              0.0010899,              0.0010899
                     14,                 0.7663,                0.45694,                 1.0511,                0.98198,                0.98333,                0.99227,                0.76533,                0.95913,                0.39912,                 1.2989,              0.0010615,              0.0010615,              0.0010615
                     15,                0.74951,                0.42099,                 1.0308,                0.98222,                0.98333,                0.98562,                0.70073,                0.97277,                 0.4013,                 1.4139,              0.0010332,              0.0010332,              0.0010332
                     16,                0.73531,                0.42363,                 1.0253,                0.98176,                0.98333,                0.98846,                0.74727,                0.94465,                0.40978,                 1.3996,              0.0010048,              0.0010048,              0.0010048
                     17,                0.76078,                0.43592,                 1.0632,                0.98185,                0.98333,                 0.9872,                0.74321,                0.86074,                0.41489,                 1.2315,              0.0009765,              0.0009765,              0.0009765
                     18,                0.76333,                0.42227,                 1.0512,                0.98225,                0.98333,                0.98591,                0.76737,                0.88269,                0.40528,                 1.2788,             0.00094816,             0.00094816,             0.00094816
                     19,                0.72605,                 0.4213,                 1.0238,                0.98205,                0.98333,                0.98535,                 0.7678,                0.90727,                0.41349,                 1.3114,             0.00091981,             0.00091981,             0.00091981
                     20,                0.71982,                0.42609,                 1.0371,                0.98225,                0.98333,                0.99098,                0.78257,                0.83592,                0.36194,                  1.233,             0.00089147,             0.00089147,             0.00089147
                     21,                0.71523,                0.42136,                 1.0172,                0.98224,                0.98333,                0.98628,                0.78274,                 0.8317,                0.37221,                 1.2303,             0.00086313,             0.00086313,             0.00086313
                     22,                0.70903,                 0.4044,                 1.0136,                0.98231,                0.98333,                 0.9861,                0.79767,                0.82451,                0.37544,                 1.1984,             0.00083478,             0.00083478,             0.00083478
                     23,                0.72355,                0.40805,                 1.0241,                0.98236,                0.98333,                 0.9861,                0.79691,                0.78312,                0.36129,                  1.191,             0.00080644,             0.00080644,             0.00080644
                     24,                0.72896,                0.40941,                 1.0223,                0.99881,                      1,                  0.995,                0.79605,                0.84881,                0.36828,                 1.2312,             0.00077809,             0.00077809,             0.00077809
                     25,                0.68585,                0.39464,                 1.0153,                0.98233,                0.98333,                0.98692,                0.78791,                0.84543,                0.37873,                 1.2318,             0.00074975,             0.00074975,             0.00074975
                     26,                0.69627,                0.39012,                 1.0104,                 0.9822,                0.98333,                0.98194,                0.76401,                0.87677,                0.37152,                 1.2662,             0.00072141,             0.00072141,             0.00072141
                     27,                0.71732,                0.39093,                 1.0386,                 0.9822,                0.98333,                0.98936,                0.78493,                0.91313,                0.36547,                 1.2992,             0.00069306,             0.00069306,             0.00069306
                     28,                0.68033,                 0.3767,                 1.0015,                0.98231,                0.98333,                0.98627,                 0.7837,                0.86273,                0.36257,                 1.2812,             0.00066472,             0.00066472,             0.00066472
                     29,                0.65372,                0.36849,                 1.0045,                 0.9823,                0.98333,                 0.9864,                0.80059,                0.83202,                0.35798,                 1.2674,             0.00063638,             0.00063638,             0.00063638
                     30,                0.67457,                0.38115,                 0.9931,                 0.9988,                      1,                  0.995,                0.79521,                0.86937,                0.35921,                 1.3125,             0.00060803,             0.00060803,             0.00060803
                     31,                0.66596,                0.37487,                 1.0094,                0.99834,                      1,                  0.995,                0.80353,                 0.8197,                0.34661,                 1.2473,             0.00057969,             0.00057969,             0.00057969
                     32,                0.66371,                0.37493,                0.98445,                0.99884,                      1,                  0.995,                0.81069,                 0.7946,                0.34071,                  1.191,             0.00055134,             0.00055134,             0.00055134
                     33,                0.66881,                 0.3851,                 1.0117,                0.99902,                      1,                  0.995,                0.80659,                0.78001,                0.34886,                 1.1539,               0.000523,               0.000523,               0.000523
                     34,                0.66203,                0.36634,                 1.0098,                0.99902,                      1,                  0.995,                0.76963,                0.83998,                0.37563,                 1.2429,             0.00049466,             0.00049466,             0.00049466
                     35,                0.63181,                0.36806,                0.99541,                0.99894,                      1,                  0.995,                0.77052,                 0.7972,                0.37655,                 1.1851,             0.00046631,             0.00046631,             0.00046631
                     36,                0.66535,                0.36913,                 1.0093,                0.99868,                      1,                  0.995,                0.78144,                0.81332,                0.36795,                 1.2015,             0.00043797,             0.00043797,             0.00043797
                     37,                 0.6416,                0.36632,                0.98527,                0.99861,                      1,                  0.995,                 0.8013,                0.81794,                 0.3565,                 1.2059,             0.00040963,             0.00040963,             0.00040963
                     38,                0.65648,                0.36664,                0.99617,                0.99879,                      1,                  0.995,                0.77817,                0.83381,                 0.3643,                 1.2069,             0.00038128,             0.00038128,             0.00038128
                     39,                0.64622,                0.36308,                0.99495,                0.99867,                      1,                  0.995,                0.78817,                 0.8203,                 0.3585,                 1.2088,             0.00035294,             0.00035294,             0.00035294
                     40,                0.61927,                0.34203,                0.97383,                0.99878,                      1,                  0.995,                0.80298,                0.77829,                0.35191,                 1.1899,             0.00032459,             0.00032459,             0.00032459
                     41,                0.56581,                0.29013,                0.93783,                0.99867,                      1,                  0.995,                0.78593,                0.80896,                0.34973,                 1.2261,             0.00029625,             0.00029625,             0.00029625
                     42,                0.56792,                0.29661,                 0.9386,                0.98214,                0.98333,                0.98468,                0.79751,                0.79089,                0.35461,                 1.2061,             0.00026791,             0.00026791,             0.00026791
                     43,                0.55621,                0.29234,                0.93453,                0.98216,                0.98333,                0.98458,                0.81333,                0.79792,                0.33855,                  1.211,             0.00023956,             0.00023956,             0.00023956
                     44,                0.54688,                0.27849,                0.92503,                0.98221,                0.98333,                0.98471,                0.81547,                0.80225,                0.34358,                 1.2281,             0.00021122,             0.00021122,             0.00021122
                     45,                0.54857,                0.27646,                0.93631,                0.98224,                0.98333,                0.98621,                0.81063,                0.81478,                0.34906,                 1.2482,             0.00018288,             0.00018288,             0.00018288
                     46,                0.55274,                0.27503,                0.93654,                0.98225,                0.98333,                0.98675,                0.81378,                0.82133,                0.34824,                 1.2515,             0.00015453,             0.00015453,             0.00015453
                     47,                0.56546,                0.28067,                0.94424,                0.98222,                0.98333,                0.98674,                0.80999,                0.80822,                0.33849,                 1.2251,             0.00012619,             0.00012619,             0.00012619
                     48,                 0.5412,                0.27065,                0.93416,                0.98226,                0.98333,                0.98729,                0.80407,                0.80466,                0.34197,                 1.2198,             9.7844e-05,             9.7844e-05,             9.7844e-05
