                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62896,                0.47637,                0.95206,                0.98216,                0.98333,                0.99157,                0.75368,                0.95635,                0.42113,                 1.3312,               0.068936,              0.0015286,              0.0015286
                      2,                0.66035,                0.48292,                0.97934,                0.98227,                0.98333,                0.98534,                 0.7639,                0.87739,                0.39543,                 1.2541,               0.037146,              0.0030718,              0.0030718
                      3,                0.63842,                0.46455,                0.94931,                0.98195,                0.98333,                0.99036,                0.77886,                0.82146,                0.42792,                 1.1667,              0.0053354,              0.0045946,              0.0045946
                      4,                0.65447,                0.49897,                0.95401,                0.98263,                0.98333,                0.98761,                0.77593,                0.85231,                0.41162,                 1.1913,              0.0045984,              0.0045984,              0.0045984
                      5,                0.69252,                0.52631,                   0.99,                0.98219,                0.98333,                0.99089,                0.77896,                 0.8063,                0.43456,                 1.1878,              0.0045678,              0.0045678,              0.0045678
                      6,                0.64546,                0.49153,                0.96777,                 0.9818,                0.98333,                 0.9851,                0.74474,                0.99039,                0.41725,                 1.4173,              0.0045373,              0.0045373,              0.0045373
                      7,                 0.6817,                0.49311,                 0.9694,                0.98208,                0.98333,                0.98248,                0.72119,                 1.0357,                0.44097,                 1.3871,              0.0045067,              0.0045067,              0.0045067
                      8,                 0.6606,                0.49426,                0.96163,                0.98229,                0.98333,                0.98789,                0.77708,                0.87466,                0.41294,                 1.3165,              0.0044762,              0.0044762,              0.0044762
                      9,                 0.6702,                0.49446,                0.95497,                0.98221,                0.98333,                0.99049,                 0.7556,                0.86619,                0.42433,                 1.2884,              0.0044456,              0.0044456,              0.0044456
                     10,                0.65438,                0.48811,                0.96063,                0.98359,                0.99876,                0.99238,                0.75716,                0.84708,                0.41811,                 1.2544,              0.0044151,              0.0044151,              0.0044151
                     11,                0.65684,                0.48498,                0.94828,                0.98181,                0.98333,                0.98177,                0.76152,                0.87469,                0.41059,                  1.282,              0.0043845,              0.0043845,              0.0043845
                     12,                0.64722,                0.48777,                0.96861,                0.99853,                      1,                  0.995,                0.77684,                0.81954,                 0.4018,                 1.2076,               0.004354,               0.004354,               0.004354
                     13,                0.64921,                0.48178,                0.95208,                0.99892,                      1,                  0.995,                0.78112,                0.79702,                 0.3857,                 1.1625,              0.0043234,              0.0043234,              0.0043234
                     14,                 0.6275,                0.48156,                0.94674,                0.98359,                0.99919,                0.99238,                0.76724,                0.82654,                0.41119,                 1.2306,              0.0042929,              0.0042929,              0.0042929
                     15,                0.61754,                0.46321,                0.92942,                0.98188,                0.98333,                0.98313,                 0.7885,                0.80814,                0.43072,                 1.1842,              0.0042623,              0.0042623,              0.0042623
                     16,                 0.6381,                0.46763,                0.96317,                0.99862,                      1,                  0.995,                0.80176,                0.76715,                0.40245,                 1.1678,              0.0042318,              0.0042318,              0.0042318
                     17,                0.66114,                0.47841,                   0.97,                0.98206,                0.98333,                0.98328,                0.77146,                0.80796,                0.40795,                 1.1907,              0.0042012,              0.0042012,              0.0042012
                     18,                 0.6449,                0.47428,                0.95796,                0.98212,                0.98333,                0.98399,                0.75937,                 0.8592,                0.41289,                 1.1927,              0.0041707,              0.0041707,              0.0041707
                     19,                0.62803,                0.45845,                0.94352,                0.98359,                0.99883,                0.99451,                0.79784,                  0.794,                0.41996,                  1.163,              0.0041401,              0.0041401,              0.0041401
                     20,                0.64571,                0.45744,                0.96713,                0.98229,                0.98333,                0.98672,                0.75899,                0.87304,                0.42613,                  1.242,              0.0041096,              0.0041096,              0.0041096
                     21,                0.64447,                0.47385,                0.94679,                 0.9823,                0.98333,                0.98369,                0.79273,                0.78519,                0.40145,                 1.1325,               0.004079,               0.004079,               0.004079
