                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8724,                0.82094,                 1.1008,                0.96528,                0.96667,                0.95714,                0.77254,                0.77366,                0.51347,                 1.1257,               0.068936,              0.0015286,              0.0015286
                      2,                0.80309,                0.66714,                 1.0563,                0.96503,                0.96667,                0.95673,                0.75491,                0.87974,                0.51163,                 1.1885,               0.037106,              0.0030315,              0.0030315
                      3,                0.81179,                0.62644,                 1.0361,                0.98244,                0.98333,                0.97936,                0.76946,                0.84378,                0.48629,                 1.1649,              0.0052141,              0.0044733,              0.0044733
                      4,                0.79974,                0.63669,                 1.0338,                0.98223,                0.98333,                0.98862,                0.75643,                0.90967,                0.50071,                 1.2588,              0.0044151,              0.0044151,              0.0044151
                      5,                0.82847,                0.64126,                 1.0543,                0.96531,                0.96667,                0.97363,                0.76535,                0.85144,                0.47882,                 1.2088,              0.0043234,              0.0043234,              0.0043234
                      6,                0.79557,                0.62873,                 1.0442,                0.98188,                0.98333,                0.98934,                0.76146,                0.87478,                0.49294,                 1.2149,              0.0042318,              0.0042318,              0.0042318
                      7,                0.79476,                0.61635,                 1.0301,                0.98182,                0.98333,                0.98969,                0.77292,                0.85777,                 0.4572,                 1.2125,              0.0041401,              0.0041401,              0.0041401
                      8,                0.75687,                0.60272,                 1.0095,                0.98358,                0.99848,                0.99041,                0.74828,                0.92344,                 0.4954,                 1.2692,              0.0040485,              0.0040485,              0.0040485
                      9,                0.77078,                0.59829,                 1.0079,                 0.9836,                0.99932,                0.99074,                0.75956,                0.85032,                 0.4845,                 1.2119,              0.0039568,              0.0039568,              0.0039568
                     10,                0.77098,                0.61155,                 1.0193,                0.98358,                0.99861,                0.98992,                 0.7879,                0.82335,                0.46257,                 1.2172,              0.0038652,              0.0038652,              0.0038652
                     11,                0.74779,                0.57959,                0.99412,                0.98359,                0.99875,                0.99008,                0.77428,                0.86356,                0.48595,                 1.2386,              0.0037735,              0.0037735,              0.0037735
                     12,                0.73542,                0.59064,                  1.012,                0.98359,                0.99888,                0.99008,                0.76473,                0.85828,                0.44324,                 1.2222,              0.0036819,              0.0036819,              0.0036819
                     13,                0.75163,                0.57567,                 1.0042,                0.98358,                0.99867,                 0.9932,                 0.7699,                0.85917,                0.47052,                 1.2057,              0.0035902,              0.0035902,              0.0035902
                     14,                 0.7282,                0.57551,                0.99735,                0.98358,                0.99867,                0.99156,                0.74992,                0.89493,                0.48922,                  1.265,              0.0034986,              0.0034986,              0.0034986
                     15,                0.70794,                0.54788,                0.96819,                0.98359,                0.99884,                0.99041,                0.75969,                0.86761,                0.45337,                 1.2496,              0.0034069,              0.0034069,              0.0034069
                     16,                0.72401,                0.55608,                      1,                0.98359,                0.99876,                0.99123,                0.72822,                0.99184,                0.49862,                 1.3562,              0.0033153,              0.0033153,              0.0033153
                     17,                 0.7504,                0.57417,                 1.0132,                0.98223,                0.98333,                0.99101,                0.74954,                0.90653,                0.45895,                 1.2498,              0.0032236,              0.0032236,              0.0032236
                     18,                0.73056,                0.56781,                0.99808,                0.98359,                0.99875,                 0.9932,                0.77794,                0.86601,                0.46918,                 1.2124,               0.003132,               0.003132,               0.003132
                     19,                0.70274,                0.54291,                0.98074,                0.98359,                0.99879,                0.99418,                 0.7937,                0.83019,                0.46402,                 1.1893,              0.0030403,              0.0030403,              0.0030403
                     20,                0.70383,                0.54105,                0.99365,                0.98359,                0.99896,                0.99418,                0.78974,                0.82432,                0.43701,                 1.2158,              0.0029487,              0.0029487,              0.0029487
                     21,                0.72189,                0.56183,                0.97896,                0.98359,                0.99903,                0.99123,                0.77706,                0.78869,                0.42354,                 1.1649,               0.002857,               0.002857,               0.002857
                     22,                0.67773,                  0.518,                0.96962,                0.98359,                0.99895,                0.99123,                0.77173,                0.79469,                0.41064,                 1.1868,              0.0027654,              0.0027654,              0.0027654
                     23,                0.69833,                0.52063,                0.97787,                0.98359,                0.99887,                0.99336,                0.78611,                 0.8414,                0.41314,                  1.231,              0.0026737,              0.0026737,              0.0026737
                     24,                0.70049,                0.53714,                 0.9756,                0.98359,                0.99871,                0.99156,                0.78483,                0.82026,                0.42293,                 1.1859,              0.0025821,              0.0025821,              0.0025821
                     25,                0.66315,                0.50848,                0.96291,                0.98359,                0.99898,                0.99254,                0.78349,                0.80449,                0.40745,                 1.1872,              0.0024904,              0.0024904,              0.0024904
                     26,                0.67323,                 0.5111,                0.97456,                 0.9836,                0.99953,                0.99336,                0.77066,                0.78151,                0.39941,                 1.1618,              0.0023988,              0.0023988,              0.0023988
                     27,                 0.6992,                0.51465,                0.97878,                0.98359,                0.99883,                0.99402,                0.77738,                0.85282,                0.42325,                 1.2303,              0.0023071,              0.0023071,              0.0023071
