                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5317,                 1.9195,                 1.4566,                0.42564,                0.25398,                0.23501,                0.12143,                 1.7181,                 2.4046,                 1.7769,               0.067836,             0.00086877,             0.00086877
                      2,                  1.719,                 1.7943,                 1.6211,                0.51584,                0.37961,                0.34319,                 0.1476,                  1.808,                 1.9716,                 1.8833,               0.035365,              0.0017311,              0.0017311
                      3,                 1.7893,                 1.7951,                 1.6657,                0.36525,                0.27332,                0.22157,                0.09244,                 2.0459,                 2.3173,                 2.0082,              0.0028794,              0.0025791,              0.0025791
                      4,                 1.7452,                 1.7295,                  1.676,                0.37675,                0.31209,                0.29944,                0.14663,                 1.8962,                 2.4393,                 1.9162,              0.0025653,              0.0025653,              0.0025653
                      5,                 1.6614,                 1.5988,                 1.6264,                0.65032,                0.40998,                 0.4652,                0.25471,                 1.6047,                 1.4869,                  1.709,              0.0025437,              0.0025437,              0.0025437
                      6,                 1.6177,                  1.515,                 1.5504,                0.55465,                0.43601,                0.45404,                0.24452,                 1.5964,                 1.5636,                 1.6177,              0.0025222,              0.0025222,              0.0025222
                      7,                 1.5778,                 1.4614,                 1.5402,                0.66041,                0.33749,                0.40541,                0.21993,                 1.6138,                 1.6312,                 1.6762,              0.0025006,              0.0025006,              0.0025006
                      8,                  1.545,                 1.4806,                 1.5298,                0.68544,                0.42082,                0.48751,                0.25337,                 1.6157,                 1.5056,                 1.7601,               0.002479,               0.002479,               0.002479
                      9,                 1.5011,                 1.4066,                 1.4988,                0.70603,                0.47072,                0.53608,                 0.2872,                 1.5059,                  1.357,                  1.573,              0.0024575,              0.0024575,              0.0024575
                     10,                 1.4831,                 1.3619,                 1.4733,                0.59675,                0.36596,                0.43097,                0.24728,                 1.6044,                 1.5122,                 1.6465,              0.0024359,              0.0024359,              0.0024359
                     11,                 1.4715,                 1.3293,                  1.459,                0.69219,                0.43902,                0.53031,                0.30183,                 1.4075,                 1.2825,                 1.4875,              0.0024143,              0.0024143,              0.0024143
                     12,                 1.4745,                 1.3365,                  1.462,                 0.6166,                0.47446,                0.47566,                0.25327,                  1.503,                  1.361,                 1.6378,              0.0023928,              0.0023928,              0.0023928
                     13,                 1.4609,                 1.2902,                 1.4179,                0.68556,                0.43984,                0.51336,                0.28789,                 1.4188,                  1.247,                 1.4765,              0.0023712,              0.0023712,              0.0023712
                     14,                 1.4519,                 1.3063,                 1.4458,                 0.7406,                0.45987,                0.51568,                0.29706,                 1.3691,                 1.3056,                 1.4485,              0.0023496,              0.0023496,              0.0023496
                     15,                 1.3657,                 1.2179,                 1.4003,                0.70469,                0.45551,                0.53519,                0.29403,                 1.5226,                 1.3425,                 1.6037,               0.002328,               0.002328,               0.002328
                     16,                 1.3921,                 1.2221,                 1.3981,                0.74445,                0.49241,                0.56182,                0.32341,                 1.3451,                 1.1072,                 1.4185,              0.0023065,              0.0023065,              0.0023065
                     17,                 1.3535,                 1.2121,                 1.3871,                0.68533,                0.49241,                0.55556,                0.33284,                 1.2982,                 1.1518,                 1.4006,              0.0022849,              0.0022849,              0.0022849
                     18,                 1.3847,                 1.1759,                 1.3807,                0.64087,                0.52258,                0.58602,                0.34806,                 1.2787,                 1.0266,                 1.3599,              0.0022633,              0.0022633,              0.0022633
