fitness,lrf,lr0,momentum
0.4821630137,0.01,0.002,0.9
0.46784,0.00994,0.00207,0.94101
0.47676,0.00997,0.00199,0.90938
0.47748,0.0097,0.00221,0.75788
0.47939,0.01037,0.002,0.90938
0.48655,0.00998,0.00199,0.90918
0.48399,0.01055,0.00187,0.9003
0.42822,0.01087,0.002,0.99999
0.48101,0.01021,0.0019,0.87163
0.4895,0.01061,0.00187,0.89012
0.47709,0.01015,0.002,0.88048
0.48516,0.01038,0.00192,0.84578
0.48002,0.01034,0.00208,0.85657
0.47274,0.01293,0.00172,0.93285
0.47472,0.01104,0.00187,0.80492
0.47649,0.0093,0.00195,0.90918
0.49095,0.00984,0.00145,0.66485
0.47631,0.00998,0.00215,0.93046
0.47467,0.00981,0.00192,0.62865
0.47918,0.01061,0.00245,0.79569
0.47,0.00992,0.00199,0.89436
0.47812,0.00958,0.00194,0.89478
0.47627,0.00881,0.00205,0.93179
0.48179,0.01077,0.00145,0.77027
0.48327,0.0109,0.00234,0.73052
0.48098,0.01151,0.00164,0.62773
0.47516,0.00856,0.0016,0.89012
0.48465,0.00976,0.00145,0.67189
0.4825,0.01061,0.00201,0.8827
0.47242,0.00846,0.0013,0.66485
0.48748,0.01151,0.00145,0.73906
0.49006,0.01227,0.00254,0.86323
0.47952,0.00928,0.00085,0.55149
0.47777,0.01227,0.00252,0.87488
0.47886,0.01,0.00145,0.67071
0.4842,0.00984,0.00136,0.65854
0.47401,0.01652,0.00252,0.86323
0.47855,0.01034,0.00145,0.68097
0.47412,0.01256,0.00262,0.76311
0.48332,0.01162,0.00262,0.86892
0.47882,0.01225,0.00261,0.84756
0.4672,0.01066,0.00187,0.86485
0.4726,0.01227,0.00231,0.86323
0.4805,0.01041,0.00141,0.63364
0.47269,0.01245,0.00249,0.88607
0.48742,0.00992,0.00176,0.72939
0.4661,0.01167,0.00229,0.84993
0.47386,0.01061,0.00178,0.91914
0.48442,0.01209,0.00145,0.66485
0.48351,0.01165,0.0015,0.66485
0.47705,0.01188,0.00254,0.84896
0.46956,0.01227,0.00254,0.82986
0.47195,0.01046,0.00165,0.60188
0.47729,0.01116,0.00208,0.91798
0.48399,0.01153,0.00196,0.78307
0.47636,0.01219,0.00172,0.53338
0.48891,0.01061,0.00232,0.89012
0.47558,0.01061,0.00187,0.76542
0.47751,0.01037,0.00195,0.97614
0.47238,0.01061,0.00215,0.94561
0.49789,0.00896,0.00143,0.71994
0.48561,0.0108,0.00091,0.79397
0.48163,0.0089,0.00143,0.55495
0.47663,0.011,0.00146,0.53498
0.47986,0.01362,0.00262,0.84274
0.48118,0.01173,0.00237,0.70736
0.479,0.00885,0.00131,0.66967
0.48361,0.00896,0.00135,0.66103
0.48509,0.01149,0.00161,0.65085
0.47878,0.00896,0.00141,0.73019
0.48582,0.00817,0.00113,0.54426
0.48059,0.00901,0.00136,0.61964
0.48282,0.00896,0.00143,0.88677
0.47549,0.00896,0.00139,0.71994
0.49638,0.00827,0.00089,0.71994
0.4925,0.00838,0.00143,0.72096
0.48888,0.00921,0.00143,0.71896
0.48269,0.00885,0.00131,0.71994
0.48098,0.00693,0.00105,0.96209
0.48484,0.00696,0.00089,0.64907
0.48219,0.00832,0.00081,0.66825
0.4816,0.00858,0.00146,0.71994
0.47866,0.00811,0.00119,0.73017
0.48148,0.00841,0.00137,0.75284
0.49393,0.00932,0.00083,0.77865
0.48241,0.00714,0.00101,0.5621
0.48491,0.00896,0.00138,0.87008
0.4883,0.00881,0.0014,0.69453
0.48702,0.00817,0.00091,0.7406
