                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4107,                 1.7899,                 1.3689,                0.42425,                0.39321,                0.31115,                0.15929,                 1.6262,                 2.1031,                 1.7041,               0.067439,             0.00047237,             0.00047237
                      2,                 1.4996,                 1.5732,                 1.4369,                0.65486,                0.38829,                0.43668,                 0.2536,                 1.4859,                 1.5496,                 1.5953,               0.034576,             0.00094277,             0.00094277
                      3,                 1.5643,                 1.5622,                 1.4716,                0.42405,                0.41215,                0.31267,                0.15581,                 1.5514,                 1.9397,                 1.6023,              0.0017072,              0.0014069,              0.0014069
                      4,                 1.5222,                 1.4748,                 1.4781,                0.57496,                0.44895,                0.46019,                0.24778,                 1.5588,                 1.5934,                 1.6055,              0.0014017,              0.0014017,              0.0014017
                      5,                  1.493,                 1.4046,                 1.4524,                0.62072,                0.47072,                0.51469,                0.29607,                 1.3979,                 1.3332,                 1.4645,              0.0013922,              0.0013922,              0.0013922
                      6,                  1.465,                 1.3412,                 1.4045,                0.62119,                0.44469,                0.49922,                0.28185,                 1.4414,                 1.3153,                 1.5217,              0.0013828,              0.0013828,              0.0013828
                      7,                  1.433,                 1.2932,                 1.4043,                0.60192,                0.45119,                0.50885,                 0.2903,                 1.4655,                 1.2524,                 1.4937,              0.0013733,              0.0013733,              0.0013733
                      8,                 1.4343,                 1.2973,                 1.4234,                0.68114,                0.49024,                0.54798,                0.31894,                 1.3459,                 1.1492,                 1.4289,              0.0013639,              0.0013639,              0.0013639
                      9,                 1.4044,                 1.2461,                 1.3814,                0.70725,                 0.4926,                0.57957,                0.32857,                 1.3835,                 1.1034,                 1.4033,              0.0013544,              0.0013544,              0.0013544
                     10,                 1.3776,                 1.2419,                 1.3561,                0.77244,                0.43601,                0.53622,                0.32245,                 1.3389,                 1.2221,                 1.4114,               0.001345,               0.001345,               0.001345
                     11,                 1.3637,                 1.2036,                 1.3541,                0.59821,                0.52321,                0.56271,                0.31483,                 1.3806,                 1.1702,                 1.4331,              0.0013355,              0.0013355,              0.0013355
                     12,                 1.3684,                  1.209,                 1.3621,                0.63574,                0.51627,                0.54409,                0.31222,                 1.2158,                 1.1205,                 1.3248,              0.0013261,              0.0013261,              0.0013261
