                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.481,                 1.8595,                 1.4348,                 0.5798,                0.36009,                0.36674,                0.20525,                 1.5895,                 1.8666,                 1.6408,               0.067628,             0.00066066,             0.00066066
                      2,                 1.5551,                 1.6071,                 1.4893,                0.52346,                0.40564,                0.41064,                 0.1944,                 1.7193,                 1.9284,                 1.7543,                0.03495,              0.0013164,              0.0013164
                      3,                 1.6186,                 1.5803,                 1.5171,                0.53015,                0.39161,                0.37603,                0.19873,                 1.5879,                 2.0004,                 1.7925,              0.0022614,              0.0019611,              0.0019611
                      4,                 1.5682,                 1.5515,                 1.5237,                  0.496,                0.39913,                0.35942,                0.18056,                 1.7465,                 1.9337,                 1.8121,              0.0019505,              0.0019505,              0.0019505
                      5,                 1.5437,                 1.4539,                 1.4983,                0.57071,                0.43601,                0.45944,                0.24092,                 1.5874,                 1.4585,                 1.7412,               0.001934,               0.001934,               0.001934
                      6,                 1.4947,                 1.4224,                 1.4524,                0.61191,                0.48224,                0.49698,                0.27821,                 1.3856,                 1.4174,                 1.4787,              0.0019175,              0.0019175,              0.0019175
                      7,                 1.4895,                 1.3551,                 1.4479,                0.64719,                0.48545,                0.54284,                0.31503,                  1.434,                 1.2703,                 1.4754,               0.001901,               0.001901,               0.001901
                      8,                 1.4873,                 1.3437,                 1.4676,                0.69947,                0.42409,                0.49668,                0.27722,                 1.4508,                 1.3139,                 1.5809,              0.0018845,              0.0018845,              0.0018845
                      9,                  1.434,                 1.3182,                   1.43,                0.64735,                0.49377,                0.53902,                0.29688,                 1.3892,                 1.2714,                 1.4676,               0.001868,               0.001868,               0.001868
                     10,                 1.4235,                 1.3066,                 1.4036,                0.58246,                0.40998,                0.46361,                0.26745,                 1.4172,                 1.4424,                 1.4707,              0.0018515,              0.0018515,              0.0018515
