                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.481,                 1.8595,                 1.4348,                 0.5798,                0.36009,                0.36674,                0.20525,                 1.5895,                 1.8666,                 1.6408,               0.067628,             0.00066066,             0.00066066
                      2,                 1.5497,                 1.6051,                 1.4857,                0.53774,                0.40122,                0.39921,                 0.1805,                 2.1644,                 1.9949,                 2.3195,               0.034952,              0.0013186,              0.0013186
                      3,                 1.6171,                 1.5667,                 1.5156,                  0.626,                0.38612,                0.43329,                0.21324,                 1.6214,                 1.7052,                 1.7047,               0.002268,              0.0019677,              0.0019677
                      4,                 1.5891,                 1.5655,                 1.5491,                0.56851,                0.45442,                0.42753,                0.21158,                 1.6062,                 1.6131,                 1.6725,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.5544,                 1.4521,                 1.5015,                0.71969,                0.40998,                0.46581,                0.25742,                 1.4702,                 1.4126,                 1.4857,              0.0019472,              0.0019472,              0.0019472
                      6,                 1.5447,                 1.4302,                 1.4658,                 0.6289,                0.44469,                0.48329,                 0.2625,                 1.4776,                 1.5799,                  1.538,               0.001934,               0.001934,               0.001934
                      7,                  1.499,                 1.3808,                 1.4699,                  0.614,                0.42516,                0.48088,                0.26839,                 1.5096,                 1.3669,                 1.6245,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.4735,                 1.3569,                 1.4559,                 0.6958,                0.47289,                0.54412,                0.30629,                 1.4275,                 1.2573,                 1.4859,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.4737,                 1.3311,                   1.44,                0.68185,                0.47884,                0.54958,                0.30879,                 1.3802,                 1.2301,                 1.4217,              0.0018944,              0.0018944,              0.0018944
                     10,                  1.443,                  1.295,                 1.4125,                0.70959,                0.44523,                0.53819,                0.29772,                 1.3926,                 1.2485,                 1.3913,              0.0018812,              0.0018812,              0.0018812
