                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2552,                 2.6853,                 1.2542,                0.71202,                0.37961,                0.42761,                 0.2689,                  1.065,                  2.146,                 1.0944,               0.068516,              0.0015492,              0.0015492
                      2,                 1.2567,                 1.8639,                 1.2214,                0.67914,                0.45987,                0.52258,                0.31755,                 1.0793,                 1.5444,                  1.122,               0.036721,              0.0030872,              0.0030872
                      3,                 1.2543,                 1.6351,                 1.2165,                0.64585,                0.56182,                0.57246,                0.34652,                  1.038,                 1.3977,                 1.1197,              0.0049001,              0.0045998,              0.0045998
                      4,                 1.1954,                 1.5587,                 1.2169,                0.58481,                0.58359,                 0.5942,                0.35768,                 1.0533,                 1.3498,                 1.1123,              0.0045754,              0.0045754,              0.0045754
                      5,                 1.1434,                 1.4461,                 1.1821,                0.68124,                0.54664,                 0.6116,                0.39675,                 1.0078,                 1.2593,                 1.0849,              0.0045373,              0.0045373,              0.0045373
                      6,                 1.1632,                 1.4078,                 1.1744,                0.63067,                 0.6269,                0.62879,                0.40301,                 1.0348,                 1.2313,                 1.0914,              0.0044991,              0.0044991,              0.0044991
                      7,                 1.1191,                 1.3582,                 1.1553,                 0.6425,                0.57701,                0.62229,                0.41286,                 1.0278,                  1.219,                 1.0981,              0.0044609,              0.0044609,              0.0044609
                      8,                 1.1183,                 1.3558,                 1.1612,                0.64091,                0.64208,                0.65501,                0.41813,                 1.0283,                 1.1602,                 1.1005,              0.0044227,              0.0044227,              0.0044227
                      9,                 1.1223,                 1.3187,                  1.163,                0.65864,                0.64208,                0.66602,                0.41882,                 1.0349,                  1.137,                 1.1155,              0.0043845,              0.0043845,              0.0043845
                     10,                 1.1143,                 1.2828,                 1.1435,                0.78347,                0.53796,                0.66681,                0.43193,                 1.0017,                 1.0879,                 1.0735,              0.0043463,              0.0043463,              0.0043463
                     11,                 1.1011,                 1.2749,                 1.1393,                0.68674,                0.62473,                0.66461,                0.40011,                 1.0304,                 1.1842,                 1.1031,              0.0043081,              0.0043081,              0.0043081
                     12,                 1.0944,                 1.2568,                 1.1413,                0.73811,                0.61749,                0.68189,                0.42065,                 1.0326,                 1.0743,                 1.1028,              0.0042699,              0.0042699,              0.0042699
                     13,                 1.1373,                 1.2315,                 1.1399,                0.69869,                0.64642,                0.69454,                0.43479,                 1.0383,                 1.0499,                 1.1496,              0.0042318,              0.0042318,              0.0042318
                     14,                 1.1117,                  1.224,                 1.1472,                 0.7992,                0.55256,                0.68628,                0.42394,                 1.0526,                 1.0634,                 1.1213,              0.0041936,              0.0041936,              0.0041936
                     15,                   1.05,                 1.1812,                 1.1214,                0.76522,                0.58681,                0.69327,                0.43996,                 1.0345,                 1.0173,                 1.1137,              0.0041554,              0.0041554,              0.0041554
                     16,                 1.0733,                 1.1645,                 1.1217,                0.71373,                0.60521,                0.67677,                0.44395,                0.99683,                 1.0022,                 1.0876,              0.0041172,              0.0041172,              0.0041172
                     17,                 1.0498,                 1.1644,                 1.1231,                 0.7315,                 0.6269,                0.69897,                0.43815,                 1.0275,                 1.0194,                  1.101,               0.004079,               0.004079,               0.004079
                     18,                 1.0941,                 1.1472,                 1.1182,                0.68585,                0.62256,                 0.6685,                0.42474,                 1.0641,                 1.0072,                 1.1298,              0.0040408,              0.0040408,              0.0040408
                     19,                 1.0905,                  1.155,                 1.1305,                0.72173,                0.63341,                0.69756,                0.43192,                 1.0261,                 1.0276,                 1.0925,              0.0040026,              0.0040026,              0.0040026
                     20,                 1.0498,                 1.1261,                 1.1146,                0.69092,                0.64425,                0.69094,                0.44776,                0.97265,                   1.01,                 1.0601,              0.0039645,              0.0039645,              0.0039645
                     21,                  1.071,                 1.1138,                 1.1094,                0.69756,                0.62907,                0.69085,                0.45351,                 0.9767,                0.98881,                 1.0631,              0.0039263,              0.0039263,              0.0039263
                     22,                 1.0643,                 1.0946,                 1.1031,                0.72656,                0.63124,                0.70302,                0.43433,                 1.0051,                0.99538,                 1.0819,              0.0038881,              0.0038881,              0.0038881
                     23,                 1.0579,                 1.0849,                 1.1073,                0.74743,                0.61605,                0.71494,                0.45099,                 1.0177,                 1.0109,                  1.085,              0.0038499,              0.0038499,              0.0038499
                     24,                 1.0592,                 1.0911,                 1.0951,                0.73949,                0.60954,                0.70729,                0.44405,                  1.014,                0.96817,                  1.087,              0.0038117,              0.0038117,              0.0038117
                     25,                 1.0486,                 1.0609,                 1.0974,                0.70404,                0.65293,                0.70725,                0.44984,                0.99062,                0.93143,                 1.0809,              0.0037735,              0.0037735,              0.0037735
                     26,                 1.0683,                 1.0607,                 1.1067,                0.70972,                0.64859,                0.69911,                0.44868,                 1.0084,                0.94318,                 1.0956,              0.0037353,              0.0037353,              0.0037353
                     27,                 1.0341,                 1.0523,                 1.1002,                0.65675,                0.67896,                0.69817,                0.43973,                 1.0266,                0.94675,                 1.1024,              0.0036971,              0.0036971,              0.0036971
                     28,                 1.0272,                 1.0709,                 1.0901,                0.74205,                0.61155,                0.71326,                0.46098,                 1.0277,                0.96736,                 1.0925,               0.003659,               0.003659,               0.003659
                     29,                 1.0273,                 1.0264,                 1.0908,                0.70102,                0.63774,                0.69258,                0.44774,                0.99914,                0.93235,                  1.091,              0.0036208,              0.0036208,              0.0036208
                     30,                  1.025,                 1.0328,                 1.0965,                0.67949,                0.64383,                0.70262,                0.45567,                 1.0121,                0.93544,                 1.0963,              0.0035826,              0.0035826,              0.0035826
                     31,                 1.0452,                  1.022,                 1.0949,                0.70395,                0.66023,                0.71184,                0.45304,                0.99199,                0.89798,                 1.0715,              0.0035444,              0.0035444,              0.0035444
                     32,                  1.044,                 1.0148,                 1.0857,                0.72288,                0.63557,                0.69963,                0.45742,                 1.0383,                0.92812,                 1.1082,              0.0035062,              0.0035062,              0.0035062
                     33,                 1.0271,                0.99873,                 1.0885,                0.70919,                0.64642,                 0.7067,                0.45932,                 1.0109,                0.92272,                 1.1055,               0.003468,               0.003468,               0.003468
                     34,                 1.0359,                 1.0061,                 1.0903,                0.70907,                0.65727,                0.72302,                0.46281,                0.97649,                0.90635,                 1.0655,              0.0034298,              0.0034298,              0.0034298
                     35,                 1.0331,                0.98984,                 1.0876,                0.73887,                0.60764,                0.68366,                0.44057,                0.99922,                 0.8979,                 1.0677,              0.0033917,              0.0033917,              0.0033917
                     36,                 0.9972,                0.97575,                 1.0772,                 0.7496,                0.62473,                0.70318,                0.45494,                 1.0102,                0.90918,                 1.0914,              0.0033535,              0.0033535,              0.0033535
                     37,                 1.0006,                0.96887,                 1.0821,                0.78131,                0.59673,                0.70593,                 0.4506,                 0.9914,                0.91706,                 1.0847,              0.0033153,              0.0033153,              0.0033153
