                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2552,                 2.6853,                 1.2542,                0.71202,                0.37961,                0.42761,                 0.2689,                  1.065,                  2.146,                 1.0944,               0.068516,              0.0015492,              0.0015492
                      2,                 1.2455,                 1.8552,                 1.2119,                0.65654,                0.46421,                0.51146,                0.31984,                  1.063,                 1.5113,                 1.1172,               0.036726,              0.0030923,              0.0030923
                      3,                 1.2635,                 1.6388,                 1.2219,                0.65776,                0.54013,                0.58673,                0.35565,                 1.0197,                 1.3941,                 1.1025,              0.0049153,               0.004615,               0.004615
                      4,                 1.1976,                 1.5597,                 1.2157,                0.60079,                0.58761,                0.57116,                0.34907,                 1.0523,                 1.3476,                 1.1088,              0.0045984,              0.0045984,              0.0045984
                      5,                 1.1534,                 1.4546,                 1.1865,                0.71398,                0.51983,                0.60616,                0.39648,                 1.0248,                 1.2977,                 1.1166,              0.0045678,              0.0045678,              0.0045678
                      6,                 1.1582,                 1.4079,                 1.1703,                0.60767,                 0.5987,                0.60078,                0.37052,                  1.007,                 1.2829,                 1.0735,              0.0045373,              0.0045373,              0.0045373
                      7,                 1.1198,                 1.3564,                 1.1541,                0.64298,                0.60738,                0.63122,                 0.4099,                 1.0031,                 1.2191,                  1.076,              0.0045067,              0.0045067,              0.0045067
                      8,                  1.127,                  1.367,                 1.1635,                0.68652,                0.58785,                0.62672,                0.40218,                 1.0046,                 1.2025,                 1.0776,              0.0044762,              0.0044762,              0.0044762
                      9,                 1.1217,                 1.3207,                 1.1572,                0.67398,                0.60521,                0.65704,                 0.4099,                  1.011,                 1.1341,                 1.0961,              0.0044456,              0.0044456,              0.0044456
                     10,                 1.1238,                 1.2837,                 1.1491,                0.72459,                0.58568,                 0.6699,                0.42963,                 1.0002,                 1.1016,                 1.0749,              0.0044151,              0.0044151,              0.0044151
                     11,                 1.1082,                 1.2756,                 1.1421,                0.69038,                 0.5987,                0.65107,                 0.3964,                 1.0121,                 1.2137,                 1.0892,              0.0043845,              0.0043845,              0.0043845
                     12,                 1.0977,                 1.2694,                 1.1465,                0.64701,                0.64859,                0.67641,                0.41745,                 1.0337,                 1.1132,                 1.1058,               0.004354,               0.004354,               0.004354
                     13,                 1.1324,                 1.2297,                 1.1364,                0.63151,                0.64859,                0.66832,                0.42264,                0.99227,                 1.0509,                 1.0941,              0.0043234,              0.0043234,              0.0043234
