                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2678,                 2.3483,                 1.2612,                0.69436,                0.39913,                0.43124,                0.26971,                 1.1597,                 1.9774,                 1.2095,                0.07027,              0.0033033,              0.0033033
                      2,                 1.2883,                 1.6005,                 1.2669,                0.71565,                0.44222,                0.50519,                0.29194,                 1.2716,                 1.4878,                 1.3027,               0.040216,              0.0065819,              0.0065819
                      3,                 1.3827,                   1.55,                 1.3097,                0.44252,                0.29067,                0.23947,                 0.1047,                 1.6292,                 2.1223,                 1.7761,               0.010106,              0.0098055,              0.0098055
                      4,                 1.4084,                  1.554,                 1.3735,                0.51705,                0.48537,                0.44805,                0.24396,                 1.3843,                 1.8472,                 1.4485,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.4254,                 1.4901,                 1.3915,                0.64028,                 0.5058,                0.53261,                0.30535,                 1.2987,                 1.4115,                 1.3566,                0.00967,                0.00967,                0.00967
                      6,                 1.4384,                 1.4446,                   1.37,                0.65332,                0.48807,                0.53326,                0.31232,                 1.3194,                 1.3368,                 1.3545,              0.0095875,              0.0095875,              0.0095875
                      7,                 1.4184,                 1.4019,                 1.3546,                0.58584,                0.44252,                0.47956,                0.28132,                 1.3124,                 1.3291,                 1.3797,               0.009505,               0.009505,               0.009505
                      8,                 1.4034,                 1.3754,                  1.372,                0.68751,                0.49892,                0.52515,                0.30375,                 1.3765,                 1.3143,                 1.4429,              0.0094225,              0.0094225,              0.0094225
                      9,                 1.3913,                 1.3245,                 1.3584,                0.62094,                0.51193,                0.55448,                0.30442,                 1.3563,                 1.2045,                 1.4212,                0.00934,                0.00934,                0.00934
                     10,                 1.3969,                 1.3124,                 1.3543,                0.66058,                0.44685,                0.53399,                0.31207,                 1.2918,                 1.2339,                 1.3276,              0.0092575,              0.0092575,              0.0092575
                     11,                 1.3818,                 1.2628,                  1.344,                0.72193,                0.47722,                0.51694,                0.29107,                 1.3735,                 1.2847,                 1.4473,               0.009175,               0.009175,               0.009175
                     12,                 1.3685,                 1.2529,                 1.3465,                0.61935,                0.55766,                 0.5434,                0.29914,                 1.3039,                 1.2434,                 1.3661,              0.0090925,              0.0090925,              0.0090925
                     13,                 1.3781,                 1.1938,                 1.3178,                 0.6552,                0.53586,                0.59459,                 0.3408,                 1.4151,                 1.1032,                 1.4804,                0.00901,                0.00901,                0.00901
                     14,                 1.3558,                 1.2068,                 1.3386,                0.67734,                0.52367,                0.57776,                0.32342,                 1.2851,                 1.1435,                 1.3199,              0.0089275,              0.0089275,              0.0089275
                     15,                 1.2915,                 1.1551,                 1.3016,                0.67947,                0.51961,                0.58405,                0.33583,                 1.3296,                 1.1214,                 1.3515,               0.008845,               0.008845,               0.008845
                     16,                 1.3076,                 1.1344,                 1.2906,                0.71997,                0.52495,                0.60705,                0.35774,                 1.2105,                 1.0776,                  1.267,              0.0087625,              0.0087625,              0.0087625
                     17,                 1.2963,                 1.1337,                 1.3121,                0.72904,                0.51627,                0.59265,                0.34627,                 1.2555,                 1.0894,                 1.3273,                0.00868,                0.00868,                0.00868
                     18,                 1.3326,                 1.1123,                 1.2947,                0.69476,                0.54013,                0.59286,                 0.3499,                 1.2694,                 1.0534,                 1.3056,              0.0085975,              0.0085975,              0.0085975
                     19,                 1.2972,                 1.0941,                 1.2908,                0.69649,                0.53262,                0.60254,                0.34244,                 1.2765,                 1.1032,                 1.3521,               0.008515,               0.008515,               0.008515
                     20,                 1.2589,                 1.0806,                  1.276,                0.64213,                0.58785,                0.62382,                0.36936,                 1.2298,                 0.9693,                 1.2841,              0.0084325,              0.0084325,              0.0084325
                     21,                 1.2859,                 1.0595,                 1.2737,                 0.6879,                0.52495,                0.58859,                0.34271,                 1.2592,                 1.0663,                 1.3098,                0.00835,                0.00835,                0.00835
                     22,                 1.2672,                 1.0598,                 1.2566,                 0.6708,                0.58351,                0.64208,                 0.3829,                 1.1957,                0.99431,                 1.2728,              0.0082675,              0.0082675,              0.0082675
                     23,                 1.2452,                 1.0272,                 1.2583,                0.68148,                0.57267,                0.62502,                0.38081,                 1.1669,                0.95955,                 1.2421,               0.008185,               0.008185,               0.008185
                     24,                 1.2649,                  1.055,                 1.2577,                0.75196,                0.52608,                0.61292,                0.37493,                 1.2248,                0.97571,                 1.2938,              0.0081025,              0.0081025,              0.0081025
                     25,                 1.2553,                 1.0125,                 1.2484,                0.68714,                0.56695,                 0.6344,                 0.3795,                 1.1727,                0.95767,                 1.2389,                0.00802,                0.00802,                0.00802
                     26,                 1.2604,                 1.0028,                 1.2573,                0.69486,                0.54013,                0.61814,                0.37019,                  1.195,                0.98843,                 1.2788,              0.0079375,              0.0079375,              0.0079375
                     27,                 1.2229,                 1.0041,                 1.2503,                 0.7442,                0.55965,                 0.6545,                0.38069,                 1.2088,                0.92711,                 1.2916,               0.007855,               0.007855,               0.007855
                     28,                 1.2123,                 1.0061,                 1.2388,                0.68928,                0.58785,                0.64254,                0.38862,                 1.1853,                 0.8977,                  1.255,              0.0077725,              0.0077725,              0.0077725
                     29,                 1.2043,                0.94775,                 1.2277,                 0.7087,                0.59108,                0.65248,                0.39276,                 1.1469,                0.90527,                 1.2049,                0.00769,                0.00769,                0.00769
                     30,                 1.1944,                0.96169,                 1.2333,                0.75913,                 0.5423,                 0.6372,                 0.3809,                 1.2044,                0.94077,                 1.2574,              0.0076075,              0.0076075,              0.0076075
                     31,                 1.2351,                0.97104,                 1.2447,                0.67908,                0.60129,                0.64985,                0.38892,                 1.1836,                0.88575,                 1.2371,               0.007525,               0.007525,               0.007525
                     32,                 1.2177,                0.95064,                 1.2218,                 0.7532,                 0.5423,                0.63764,                0.37865,                 1.1665,                0.94094,                 1.2366,              0.0074425,              0.0074425,              0.0074425
                     33,                 1.1913,                0.94072,                 1.2106,                0.70895,                0.56537,                0.65583,                0.40237,                 1.1521,                0.94226,                 1.2276,                0.00736,                0.00736,                0.00736
                     34,                 1.1855,                0.94005,                 1.2127,                 0.7276,                 0.5705,                0.64663,                0.40457,                   1.15,                0.88896,                   1.22,              0.0072775,              0.0072775,              0.0072775
                     35,                 1.1887,                0.90847,                  1.218,                0.75271,                0.56182,                0.67212,                0.39546,                 1.2347,                0.90194,                 1.3186,               0.007195,               0.007195,               0.007195
                     36,                  1.155,                0.90257,                  1.198,                0.76152,                0.54881,                0.65589,                0.38776,                 1.1941,                0.86689,                 1.2611,              0.0071125,              0.0071125,              0.0071125
                     37,                 1.1641,                0.88479,                 1.2075,                0.70821,                0.57267,                0.64954,                 0.3964,                 1.1763,                0.88178,                  1.268,                0.00703,                0.00703,                0.00703
                     38,                 1.1728,                0.89108,                 1.2005,                 0.7049,                0.62178,                0.68051,                0.40933,                 1.1229,                0.85634,                  1.205,              0.0069475,              0.0069475,              0.0069475
                     39,                 1.1697,                0.87863,                 1.1894,                0.70347,                0.60725,                0.65636,                0.40551,                 1.1896,                0.88939,                 1.3052,               0.006865,               0.006865,               0.006865
                     40,                 1.1541,                0.90398,                 1.1965,                0.70322,                0.58134,                 0.6541,                0.40074,                 1.1433,                0.90384,                 1.2364,              0.0067825,              0.0067825,              0.0067825
                     41,                 1.1275,                0.86942,                 1.1825,                0.77326,                0.57701,                0.68445,                0.40771,                 1.1352,                0.85496,                  1.212,                 0.0067,                 0.0067,                 0.0067
                     42,                 1.1724,                0.87733,                 1.1959,                0.79207,                0.51627,                0.65256,                0.40218,                 1.1841,                0.89069,                 1.2529,              0.0066175,              0.0066175,              0.0066175
                     43,                 1.1297,                0.85544,                 1.1911,                0.80739,                0.54447,                 0.6757,                0.40282,                 1.1941,                0.87733,                 1.2655,               0.006535,               0.006535,               0.006535
                     44,                  1.162,                0.87257,                 1.1852,                0.68246,                0.59002,                0.66328,                0.41293,                 1.1101,                0.85773,                 1.1791,              0.0064525,              0.0064525,              0.0064525
                     45,                  1.142,                0.84574,                 1.1888,                0.73994,                0.58017,                 0.6718,                0.41515,                 1.1495,                0.83285,                  1.257,                0.00637,                0.00637,                0.00637
                     46,                 1.1219,                0.84016,                  1.171,                0.70248,                0.61822,                0.66984,                0.40414,                 1.1752,                0.85245,                 1.2619,              0.0062875,              0.0062875,              0.0062875
                     47,                 1.1342,                0.82181,                 1.1607,                0.73322,                0.58426,                0.66357,                 0.4069,                 1.1786,                0.84799,                 1.2393,               0.006205,               0.006205,               0.006205
                     48,                 1.1153,                0.81158,                 1.1716,                0.75458,                 0.5987,                0.69117,                 0.4295,                 1.1502,                0.81418,                 1.2458,              0.0061225,              0.0061225,              0.0061225
                     49,                 1.1069,                0.81578,                 1.1647,                0.74774,                0.59799,                0.69087,                 0.4362,                 1.0913,                0.76135,                  1.176,                0.00604,                0.00604,                0.00604
                     50,                 1.0965,                0.79456,                 1.1673,                0.74884,                0.59219,                0.68007,                0.42421,                 1.1215,                0.84061,                 1.1977,              0.0059575,              0.0059575,              0.0059575
                     51,                 1.1162,                0.78231,                 1.1551,                 0.7105,                0.60521,                0.67674,                0.42101,                 1.1095,                0.83842,                 1.1859,               0.005875,               0.005875,               0.005875
                     52,                 1.1009,                0.82091,                 1.1497,                 0.6927,                0.60304,                0.66611,                 0.4137,                  1.125,                 0.8171,                 1.1907,              0.0057925,              0.0057925,              0.0057925
                     53,                 1.0673,                0.79174,                 1.1367,                0.69195,                0.61388,                0.67796,                0.42616,                 1.1084,                0.80002,                 1.2036,                0.00571,                0.00571,                0.00571
                     54,                 1.1152,                0.81269,                  1.159,                0.69267,                0.62039,                0.68468,                0.41943,                 1.1143,                0.83017,                 1.2032,              0.0056275,              0.0056275,              0.0056275
                     55,                 1.0821,                0.79284,                 1.1551,                0.67857,                0.63991,                0.68595,                0.42867,                 1.0911,                0.80154,                 1.1731,               0.005545,               0.005545,               0.005545
                     56,                 1.0699,                0.77674,                 1.1376,                 0.7067,                0.60087,                0.65789,                0.40722,                 1.1003,                0.86324,                 1.1775,              0.0054625,              0.0054625,              0.0054625
                     57,                 1.0821,                0.78512,                 1.1484,                0.76847,                 0.5987,                 0.6893,                0.42239,                 1.0928,                0.84261,                 1.1792,                0.00538,                0.00538,                0.00538
                     58,                 1.0642,                0.77964,                 1.1399,                 0.7494,                0.60304,                0.68729,                0.41982,                 1.1058,                0.82168,                  1.189,              0.0052975,              0.0052975,              0.0052975
                     59,                 1.0719,                0.77837,                 1.1444,                0.76885,                0.60304,                0.70538,                0.42639,                 1.1168,                0.79648,                 1.1959,               0.005215,               0.005215,               0.005215
                     60,                 1.0813,                0.76699,                 1.1356,                0.74613,                0.59219,                0.67706,                0.41909,                 1.0982,                0.81222,                 1.1901,              0.0051325,              0.0051325,              0.0051325
                     61,                 1.0421,                0.74216,                 1.1259,                0.75433,                0.63557,                0.70449,                0.43382,                 1.0794,                0.76923,                 1.1723,                0.00505,                0.00505,                0.00505
                     62,                 1.0896,                0.77228,                 1.1376,                0.70948,                0.61451,                0.68273,                0.42899,                 1.1073,                 0.7522,                  1.191,              0.0049675,              0.0049675,              0.0049675
                     63,                 1.0578,                0.74542,                 1.1279,                0.73714,                0.62047,                0.69852,                0.43001,                 1.0891,                0.79456,                 1.1714,               0.004885,               0.004885,               0.004885
                     64,                 1.0743,                0.75467,                 1.1285,                0.72292,                0.60556,                0.67396,                0.41625,                 1.0957,                0.80483,                 1.1742,              0.0048025,              0.0048025,              0.0048025
                     65,                 1.0254,                0.74828,                 1.1237,                0.71802,                0.63774,                 0.6887,                 0.4266,                  1.093,                0.79915,                 1.1745,                0.00472,                0.00472,                0.00472
                     66,                 1.0206,                0.71115,                 1.1146,                0.69858,                0.64852,                0.69809,                0.44168,                 1.0741,                0.79509,                 1.1626,              0.0046375,              0.0046375,              0.0046375
                     67,                0.99864,                0.70274,                 1.1052,                0.71074,                0.63959,                0.69691,                0.43346,                 1.0779,                0.79709,                 1.1823,               0.004555,               0.004555,               0.004555
                     68,                 1.0315,                 0.7187,                 1.1111,                0.74756,                0.61171,                0.70058,                0.44193,                 1.0575,                 0.7648,                  1.172,              0.0044725,              0.0044725,              0.0044725
                     69,                 1.0067,                0.70068,                 1.1035,                0.73332,                0.59052,                0.66858,                0.42447,                 1.0678,                0.80049,                 1.1622,                0.00439,                0.00439,                0.00439
                     70,                 1.0353,                0.71164,                 1.1196,                0.69451,                0.63774,                 0.6638,                0.41998,                 1.0747,                0.79362,                 1.1671,              0.0043075,              0.0043075,              0.0043075
                     71,                 1.0491,                0.71376,                 1.1134,                0.72054,                0.61822,                0.67755,                0.42479,                 1.0838,                0.78751,                 1.1677,               0.004225,               0.004225,               0.004225
                     72,                 1.0128,                0.70644,                 1.1094,                0.79024,                0.56833,                0.65275,                0.41189,                 1.1018,                0.81816,                   1.18,              0.0041425,              0.0041425,              0.0041425
                     73,                0.98319,                0.67597,                 1.0861,                0.70597,                0.63341,                0.66411,                0.42743,                 1.0778,                0.80138,                  1.174,                0.00406,                0.00406,                0.00406
                     74,                0.99524,                0.69149,                 1.1045,                0.67772,                 0.6269,                0.67542,                0.42656,                  1.065,                 0.8248,                 1.1612,              0.0039775,              0.0039775,              0.0039775
                     75,                 1.0095,                0.70576,                 1.1049,                0.72223,                 0.5987,                0.67585,                0.43022,                  1.087,                0.82189,                 1.1807,               0.003895,               0.003895,               0.003895
                     76,                0.98471,                0.67044,                 1.0908,                0.72078,                0.64425,                0.70256,                 0.4351,                 1.0953,                0.81939,                 1.1822,              0.0038125,              0.0038125,              0.0038125
                     77,                0.98222,                0.67106,                 1.0966,                0.72903,                0.65366,                0.71131,                0.44926,                  1.045,                0.74923,                 1.1375,                0.00373,                0.00373,                0.00373
                     78,                 1.0284,                0.68972,                 1.1167,                0.73304,                0.61822,                0.69571,                0.44459,                 1.0419,                0.79604,                 1.1327,              0.0036475,              0.0036475,              0.0036475
                     79,                 0.9923,                0.66895,                 1.0897,                0.67567,                0.65727,                0.71073,                0.44869,                 1.0378,                0.76959,                 1.1385,               0.003565,               0.003565,               0.003565
                     80,                0.97106,                0.65992,                 1.0915,                  0.747,                0.62907,                0.70438,                0.44828,                  1.035,                0.76944,                 1.1354,              0.0034825,              0.0034825,              0.0034825
                     81,                  0.962,                0.65278,                 1.0817,                0.73247,                0.63124,                0.69919,                0.44584,                 1.0649,                0.76747,                  1.165,                 0.0034,                 0.0034,                 0.0034
                     82,                 0.9622,                0.64041,                 1.0805,                0.74304,                0.62473,                0.70138,                0.43378,                 1.0738,                0.77682,                 1.1569,              0.0033175,              0.0033175,              0.0033175
                     83,                0.97086,                0.64941,                 1.0697,                0.75534,                0.59219,                0.67115,                0.43161,                 1.0734,                 0.7929,                 1.1532,               0.003235,               0.003235,               0.003235
                     84,                0.92398,                0.62058,                  1.073,                0.70986,                0.64859,                0.69773,                0.44279,                 1.0884,                 0.7771,                 1.1693,              0.0031525,              0.0031525,              0.0031525
                     85,                0.94668,                0.64007,                 1.0743,                0.71408,                0.63991,                0.69903,                0.44491,                 1.0638,                0.78691,                 1.1588,                0.00307,                0.00307,                0.00307
                     86,                0.93675,                0.62293,                 1.0698,                0.73614,                0.61729,                0.70224,                0.44422,                 1.0668,                0.78094,                 1.1554,              0.0029875,              0.0029875,              0.0029875
                     87,                0.94749,                0.62576,                 1.0631,                0.73108,                0.64277,                0.70986,                0.45071,                 1.0817,                0.77603,                 1.1692,               0.002905,               0.002905,               0.002905
                     88,                0.93284,                   0.62,                 1.0686,                0.73715,                0.61822,                 0.6722,                0.43252,                 1.0471,                0.80159,                   1.15,              0.0028225,              0.0028225,              0.0028225
                     89,                0.93195,                0.61807,                  1.066,                0.77909,                0.58905,                0.67709,                0.43521,                 1.0544,                0.84763,                 1.1555,                0.00274,                0.00274,                0.00274
                     90,                0.98056,                0.63762,                 1.0757,                0.75837,                0.60304,                0.66972,                0.42907,                 1.0478,                0.81561,                 1.1572,              0.0026575,              0.0026575,              0.0026575
                     91,                0.93743,                 0.6068,                 1.0711,                0.76422,                0.61822,                0.67715,                0.43084,                 1.0477,                0.82334,                  1.153,               0.002575,               0.002575,               0.002575
                     92,                0.93565,                0.61595,                  1.059,                0.75898,                0.62845,                 0.6941,                0.43553,                 1.0582,                0.77568,                 1.1555,              0.0024925,              0.0024925,              0.0024925
                     93,                0.92553,                0.60288,                 1.0519,                0.71785,                0.64208,                0.69372,                0.44092,                 1.0357,                0.76459,                  1.138,                0.00241,                0.00241,                0.00241
                     94,                0.91565,                 0.6026,                 1.0528,                0.76519,                0.60738,                0.69218,                0.44299,                 1.0548,                0.75995,                 1.1545,              0.0023275,              0.0023275,              0.0023275
                     95,                0.93476,                0.60544,                 1.0513,                0.79817,                0.60049,                0.70967,                 0.4456,                 1.0469,                0.78236,                 1.1353,               0.002245,               0.002245,               0.002245
                     96,                0.88643,                 0.5859,                  1.055,                0.70322,                0.65944,                0.69388,                0.43883,                 1.0649,                0.78749,                 1.1645,              0.0021625,              0.0021625,              0.0021625
                     97,                0.90951,                0.58717,                 1.0523,                0.78449,                0.60802,                0.69465,                0.44581,                 1.0456,                0.77325,                 1.1449,                0.00208,                0.00208,                0.00208
                     98,                0.90638,                0.58523,                 1.0397,                0.76713,                0.59653,                0.67016,                0.43454,                 1.0465,                0.81363,                 1.1341,              0.0019975,              0.0019975,              0.0019975
                     99,                0.90235,                0.58549,                 1.0439,                0.76994,                0.58803,                0.67489,                0.43343,                 1.0649,                0.80999,                 1.1491,               0.001915,               0.001915,               0.001915
                    100,                0.87308,                 0.5698,                 1.0369,                0.80235,                0.59436,                0.68647,                0.43944,                  1.047,                0.76835,                 1.1451,              0.0018325,              0.0018325,              0.0018325
                    101,                0.93048,                0.61052,                 1.0571,                0.74925,                0.63991,                 0.6815,                0.44133,                 1.0339,                 0.8231,                 1.1452,                0.00175,                0.00175,                0.00175
                    102,                0.88445,                 0.5738,                  1.034,                0.79206,                0.57838,                0.68763,                0.44996,                 1.0308,                0.77098,                 1.1413,              0.0016675,              0.0016675,              0.0016675
                    103,                0.88186,                0.57651,                 1.0398,                0.72462,                0.62473,                0.67562,                0.44143,                 1.0549,                 0.8116,                 1.1654,               0.001585,               0.001585,               0.001585
                    104,                0.88994,                0.58338,                 1.0445,                0.74136,                0.63422,                0.68115,                0.43612,                 1.0586,                0.80401,                 1.1721,              0.0015025,              0.0015025,              0.0015025
                    105,                 0.8959,                0.57688,                 1.0487,                0.71675,                0.63341,                0.68127,                 0.4376,                 1.0467,                0.77991,                 1.1676,                0.00142,                0.00142,                0.00142
                    106,                0.89717,                0.58496,                   1.04,                0.74783,                 0.6269,                0.69605,                0.44468,                 1.0267,                0.80025,                 1.1319,              0.0013375,              0.0013375,              0.0013375
                    107,                0.85946,                 0.5454,                 1.0333,                0.75709,                  0.622,                0.69071,                0.44839,                  1.046,                0.76696,                 1.1455,               0.001255,               0.001255,               0.001255
                    108,                0.86908,                0.56234,                 1.0298,                0.75337,                0.61822,                0.68553,                0.44662,                 1.0485,                0.78834,                 1.1399,              0.0011725,              0.0011725,              0.0011725
                    109,                0.90474,                 0.5672,                 1.0435,                0.75387,                0.62256,                 0.6867,                0.44678,                  1.027,                0.77593,                 1.1344,                0.00109,                0.00109,                0.00109
                    110,                0.86484,                0.55006,                 1.0337,                0.71374,                0.64362,                0.68577,                0.44226,                 1.0403,                0.78807,                 1.1444,              0.0010075,              0.0010075,              0.0010075
                    111,                0.80528,                0.48225,                0.99033,                0.70621,                0.61822,                0.66693,                0.43644,                 1.0436,                  0.816,                 1.1493,               0.000925,               0.000925,               0.000925
                    112,                 0.8097,                0.49798,                 0.9902,                0.73097,                0.63064,                0.67984,                0.43809,                 1.0477,                0.81502,                 1.1428,              0.0008425,              0.0008425,              0.0008425
                    113,                0.81108,                0.47951,                0.98741,                0.76626,                 0.5987,                0.67987,                0.44251,                 1.0372,                0.80712,                 1.1348,                0.00076,                0.00076,                0.00076
                    114,                 0.7986,                0.47847,                0.99075,                0.76846,                0.60475,                0.67643,                0.43952,                 1.0479,                0.81868,                 1.1427,              0.0006775,              0.0006775,              0.0006775
                    115,                0.80158,                0.48328,                0.98524,                0.76819,                 0.5987,                0.67262,                0.43856,                 1.0459,                 0.7854,                 1.1476,               0.000595,               0.000595,               0.000595
                    116,                0.78406,                 0.4661,                0.97894,                 0.7237,                0.61388,                0.67099,                0.44123,                 1.0384,                0.80719,                 1.1467,              0.0005125,              0.0005125,              0.0005125
                    117,                0.78181,                0.46801,                0.98024,                0.72855,                0.62878,                 0.6791,                0.44753,                 1.0334,                0.78228,                 1.1446,                0.00043,                0.00043,                0.00043
                    118,                0.78267,                0.46478,                0.97562,                 0.7527,                0.60738,                 0.6881,                0.44677,                 1.0499,                0.78965,                 1.1631,              0.0003475,              0.0003475,              0.0003475
                    119,                0.77234,                0.46089,                0.97318,                0.75359,                0.61388,                0.68647,                0.44712,                 1.0458,                0.79281,                 1.1622,               0.000265,               0.000265,               0.000265
                    120,                0.76834,                0.46603,                0.97601,                 0.7642,                0.61162,                0.68569,                 0.4455,                 1.0453,                0.79275,                 1.1558,              0.0001825,              0.0001825,              0.0001825
