                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2678,                 2.3483,                 1.2612,                0.69436,                0.39913,                0.43124,                0.26971,                 1.1597,                 1.9774,                 1.2095,                0.07027,              0.0033033,              0.0033033
                      2,                  1.303,                 1.6269,                  1.277,                0.63794,                0.47012,                0.50169,                0.29827,                  1.227,                 1.5375,                 1.2721,               0.040226,              0.0065928,              0.0065928
                      3,                 1.3908,                  1.538,                 1.3187,                0.49405,                0.38612,                0.34889,                0.17109,                  1.506,                 1.8024,                 1.5023,               0.010139,              0.0098384,              0.0098384
                      4,                 1.4155,                 1.5655,                 1.3755,                0.56427,                0.46913,                0.47416,                0.25259,                  1.481,                  1.546,                 1.5049,               0.009802,               0.009802,               0.009802
                      5,                 1.4341,                 1.5126,                 1.3893,                 0.6512,                0.49003,                0.50537,                 0.2858,                 1.3543,                 1.5268,                 1.3995,               0.009736,               0.009736,               0.009736
                      6,                 1.4529,                 1.4647,                 1.3859,                0.66245,                0.43818,                 0.4987,                0.29937,                 1.3309,                 1.4435,                 1.4263,                0.00967,                0.00967,                0.00967
                      7,                 1.4292,                 1.3982,                 1.3674,                0.63642,                0.42526,                   0.48,                0.28047,                 1.3377,                 1.3883,                 1.4751,               0.009604,               0.009604,               0.009604
                      8,                 1.4351,                  1.371,                 1.3975,                0.60879,                0.42082,                0.45539,                0.25889,                 1.4256,                 1.5642,                 1.4819,               0.009538,               0.009538,               0.009538
                      9,                 1.4009,                 1.3584,                 1.3757,                  0.734,                0.49675,                0.59472,                0.33604,                 1.3229,                 1.1607,                 1.3729,               0.009472,               0.009472,               0.009472
                     10,                 1.3928,                 1.3044,                  1.349,                0.67215,                0.51844,                0.56329,                0.32721,                 1.3416,                 1.2015,                 1.3814,               0.009406,               0.009406,               0.009406
                     11,                 1.3851,                 1.2638,                  1.349,                0.62496,                0.52061,                0.50276,                0.27597,                 1.2963,                  1.247,                 1.3376,                0.00934,                0.00934,                0.00934
                     12,                 1.3704,                 1.2686,                 1.3399,                 0.7118,                0.47939,                0.56245,                0.32726,                 1.3499,                 1.2438,                 1.4328,               0.009274,               0.009274,               0.009274
                     13,                 1.3995,                 1.2249,                 1.3247,                0.64989,                0.51942,                0.54841,                0.30305,                 1.3236,                 1.2011,                  1.374,               0.009208,               0.009208,               0.009208
                     14,                 1.3627,                 1.2159,                 1.3269,                0.67325,                0.52278,                0.58661,                 0.3298,                 1.2745,                 1.1127,                 1.3308,               0.009142,               0.009142,               0.009142
